ticket_id,triaged_at,it_member_id,assigned_category,assigned_priority,priority_reason,classification_confidence,needs_specialist_review_flag,intake_summary,classification_evidence,recommended_specialist_group,target_first_response_at,target_resolution_at
TKT-00011,2026-02-06T11:53:10,IT-008,login_access,high,tier=enterprise; urgency=high; category=login_access,0.93,true,Nikhil Chen at Lumen Systems reports stuck in sso redirect loop in CRM; impact: Two team members cannot start the day's work.,subject='Stuck in SSO redirect loop'; system='CRM'; symptom='CRM sign-in fails before the user reaches the app home page.',identity_security,2026-02-06T11:08:00,2026-02-07T09:08:00
TKT-00012,2026-01-19T09:36:50,IT-006,hardware_issue,high,tier=enterprise; urgency=medium; category=hardware_issue,0.72,true,Vera Holm at Lumen Systems reports wireless mouse not working in Customer Portal; impact: Single user partially blocked.,subject='Wireless mouse not working'; system='Customer Portal'; symptom='Device or peripheral behavior remains faulty after a basic restart.',hardware_field,2026-01-19T10:53:00,2026-01-20T08:53:00
TKT-00013,2026-03-17T10:04:26,IT-001,password_reset,medium,tier=standard; urgency=high; category=password_reset,0.96,false,Theo Kapoor at Pacific Bioworks reports service account password expired in CRM; impact: Nightly export job failing.,subject='Service account password expired'; system='CRM'; symptom='Reset workflow for CRM does not complete for the affected account.',identity_security,2026-03-17T12:45:00,2026-03-19T04:45:00
TKT-00014,2026-02-08T16:03:38,IT-007,network_connectivity,high,tier=enterprise; urgency=medium; category=network_connectivity,0.86,false,Theo Patel at Pioneer Foods reports high latency to internal apps in VPN; impact: Whole regional team affected.,subject='High latency to internal apps'; system='VPN'; symptom='VPN connectivity is intermittent enough to interrupt work.',network_infra,2026-02-08T16:14:00,2026-02-09T14:14:00
TKT-00015,2026-01-17T02:27:40,IT-004,hardware_issue,low,tier=standard; urgency=low; category=hardware_issue,0.8,false,Imani Yamada at Northstar Foods reports printer offline error in Customer Portal; impact: Team cannot print client deliverables.,subject='Printer offline error'; system='Customer Portal'; symptom='Device or peripheral behavior remains faulty after a basic restart.',hardware_field,2026-01-17T22:36:00,2026-01-19T22:36:00
TKT-00016,2026-02-02T09:29:58,IT-005,security_request,urgent,tier=premium; urgency=critical; category=security_request,0.89,true,Noor Jeong at Summit Health reports need access for new employee in Identity Provider; impact: New hire cannot access required systems.,subject='Need access for new employee'; system='Identity Provider'; symptom='Identity Provider access or security state needs human review before action.',identity_security,2026-02-02T09:44:00,2026-02-02T16:44:00
TKT-00017,2026-03-10T07:38:41,IT-005,login_access,medium,tier=standard; urgency=medium; category=login_access,0.93,false,Lin Quintero at Aurora Capital reports stuck in sso redirect loop in Identity Provider; impact: Two team members cannot start the day's work.,subject='Stuck in SSO redirect loop'; system='Identity Provider'; symptom='Identity Provider sign-in fails before the user reaches the app home page.',identity_security,2026-03-10T14:54:00,2026-03-12T06:54:00
TKT-00018,2026-03-12T10:16:11,IT-008,billing_account,low,tier=standard; urgency=low; category=billing_account,0.81,false,Imani Adler at Polaris Logistics reports cannot download invoice pdf in Customer Portal; impact: Customer cannot file expense reports.,subject='Cannot download invoice PDF'; system='Customer Portal'; symptom='Customer Portal billing record does not match the customer's expected account state.',billing_finance,2026-03-13T08:57:00,2026-03-15T08:57:00
TKT-00019,2026-02-09T23:40:45,IT-008,network_connectivity,high,tier=standard; urgency=high; category=network_connectivity,0.8,false,Imani Yamada at Quartz Logistics reports wi-fi drops in conference room in VPN; impact: Customer demos interrupted.,subject='Wi-Fi drops in conference room'; system='VPN'; symptom='VPN connectivity is intermittent enough to interrupt work.',network_infra,2026-02-09T23:47:00,2026-02-10T21:47:00
TKT-00020,2026-03-11T17:47:30,IT-003,network_connectivity,medium,tier=standard; urgency=medium; category=network_connectivity,0.69,false,Imani Holm at Ironhill Capital reports vpn disconnects every few minutes in Identity Provider; impact: Remote engineer cannot stay connected to internal tools.,subject='VPN disconnects every few minutes'; system='Identity Provider'; symptom='Identity Provider connectivity is intermittent enough to interrupt work.',network_infra,2026-03-11T22:55:00,2026-03-13T14:55:00
TKT-00021,2026-02-21T17:31:20,IT-002,network_connectivity,medium,tier=standard; urgency=medium; category=network_connectivity,0.97,false,Sana Adler at Northstar Foods reports wi-fi drops in conference room in Identity Provider; impact: Customer demos interrupted.,subject='Wi-Fi drops in conference room'; system='Identity Provider'; symptom='Identity Provider connectivity is intermittent enough to interrupt work.',network_infra,2026-02-21T23:56:00,2026-02-23T15:56:00
TKT-00022,2026-02-17T15:26:54,IT-006,login_access,medium,tier=standard; urgency=high; category=login_access,0.9,false,Theo Jeong at Pacific Bioworks reports account locked after travel in CRM; impact: Field rep blocked from CRM during customer visit.,subject='Account locked after travel'; system='CRM'; symptom='CRM sign-in fails before the user reaches the app home page.',identity_security,2026-02-17T18:08:00,2026-02-19T10:08:00
TKT-00023,2026-03-21T19:29:13,IT-003,other,medium,tier=standard; urgency=medium; category=other,0.49,false,Bea Jeong at Meridian Studios reports email calendar sync issue in Email; impact: User missed customer meeting.,subject='Email calendar sync issue'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',application_engineering,2026-03-21T21:52:00,2026-03-23T13:52:00
TKT-00024,2026-03-06T08:13:45,IT-008,software_bug,high,tier=premium; urgency=high; category=software_bug,0.97,false,Uma Holm at Quartz Bioworks reports app freezes when opening report in CRM; impact: Reporting workflow unusable.,subject='App freezes when opening report'; system='CRM'; symptom='CRM behavior is repeatable and differs from yesterday's behavior.',application_engineering,2026-03-06T08:58:00,2026-03-07T06:58:00
TKT-00025,2026-02-25T15:21:22,IT-003,login_access,medium,tier=standard; urgency=medium; category=login_access,0.86,false,Priya Ivanov at Meridian Studios reports account locked after travel in CRM; impact: Field rep blocked from CRM during customer visit.,subject='Account locked after travel'; system='CRM'; symptom='CRM sign-in fails before the user reaches the app home page.',identity_security,2026-02-25T21:33:00,2026-02-27T13:33:00
TKT-00026,2026-02-04T22:58:07,IT-003,login_access,high,tier=premium; urgency=high; category=login_access,0.9,true,Wren Kapoor at Summit Health reports cannot log into customer portal in Customer Portal; impact: One user blocked from logging in.,subject='Cannot log into customer portal'; system='Customer Portal'; symptom='Customer Portal sign-in fails before the user reaches the app home page.',identity_security,2026-02-04T23:09:00,2026-02-05T21:09:00
TKT-00027,2026-03-25T04:38:12,IT-004,password_reset,low,tier=standard; urgency=medium; category=password_reset,0.87,false,Theo Singh at Northstar Foods reports service account password expired in Customer Portal; impact: Nightly export job failing.,subject='Service account password expired'; system='Customer Portal'; symptom='Reset workflow for Customer Portal does not complete for the affected account.',identity_security,2026-03-26T01:38:00,2026-03-28T01:38:00
TKT-00028,2026-03-03T22:04:46,IT-008,security_request,high,tier=premium; urgency=medium; category=security_request,0.87,false,Quinn Nair at Summit Health reports need access for new employee in Identity Provider; impact: New hire cannot access required systems.,subject='Need access for new employee'; system='Identity Provider'; symptom='Identity Provider access or security state needs human review before action.',identity_security,2026-03-03T19:17:00,2026-03-04T17:17:00
TKT-00029,2026-03-19T19:39:38,IT-001,email_calendar,urgent,tier=enterprise; urgency=critical; category=email_calendar,0.81,true,Erin Liang at Lumen Systems reports shared mailbox missing in Email; impact: Support intake delayed.,subject='Shared mailbox missing'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',identity_security,2026-03-19T19:07:00,2026-03-20T02:07:00
TKT-00030,2026-02-12T19:25:14,IT-004,email_calendar,medium,tier=premium; urgency=medium; category=email_calendar,0.99,false,Uma Zhao at Pioneer Bioworks reports shared mailbox missing in Email; impact: Support intake delayed.,subject='Shared mailbox missing'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',identity_security,2026-02-13T01:57:00,2026-02-14T17:57:00
TKT-00031,2026-02-02T11:59:12,IT-003,email_calendar,medium,tier=premium; urgency=medium; category=email_calendar,0.81,true,Xavi Grover at Quartz Bioworks reports shared mailbox missing in Email; impact: Support intake delayed.,subject='Shared mailbox missing'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',identity_security,2026-02-02T14:55:00,2026-02-04T06:55:00
TKT-00032,2026-03-26T13:15:34,IT-002,password_reset,medium,tier=standard; urgency=critical; category=password_reset,0.89,false,Marta Patel at Aurora Capital reports password reset link expired in Customer Portal; impact: Customer demo delayed.,subject='Password reset link expired'; system='Customer Portal'; symptom='Reset workflow for Customer Portal does not complete for the affected account.',identity_security,2026-03-26T20:25:00,2026-03-28T12:25:00
TKT-00033,2026-03-22T21:15:23,IT-008,password_reset,medium,tier=premium; urgency=medium; category=password_reset,0.98,false,Xavi Yamada at Summit Health reports service account password expired in Customer Portal; impact: Nightly export job failing.,subject='Service account password expired'; system='Customer Portal'; symptom='Reset workflow for Customer Portal does not complete for the affected account.',identity_security,2026-03-22T23:41:00,2026-03-24T15:41:00
TKT-00034,2026-01-21T13:58:06,IT-007,login_access,medium,tier=premium; urgency=medium; category=login_access,0.82,false,Zane Vega at Pioneer Bioworks reports account locked after travel in Identity Provider; impact: Field rep blocked from CRM during customer visit.,subject='Account locked after travel'; system='Identity Provider'; symptom='Identity Provider sign-in fails before the user reaches the app home page.',identity_security,2026-01-21T17:40:00,2026-01-23T09:40:00
TKT-00035,2026-03-14T19:50:22,IT-006,billing_account,medium,tier=premium; urgency=medium; category=billing_account,0.84,false,Alex Patel at Cypress Analytics reports wrong billing region applied in Customer Portal; impact: Finance unable to close the month.,subject='Wrong billing region applied'; system='Customer Portal'; symptom='Customer Portal billing record does not match the customer's expected account state.',billing_finance,2026-03-14T22:17:00,2026-03-16T14:17:00
TKT-00036,2026-02-12T09:19:12,IT-007,email_calendar,low,tier=standard; urgency=low; category=email_calendar,0.87,true,Grace Zhao at Pacific Bioworks reports out of office not sending in Email; impact: Stakeholders unaware of leave.,subject='Out of office not sending'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',identity_security,2026-02-13T06:14:00,2026-02-15T06:14:00
TKT-00037,2026-02-15T21:07:30,IT-007,billing_account,medium,tier=premium; urgency=medium; category=billing_account,0.99,false,Chen Bose at Quartz Bioworks reports cannot download invoice pdf in Customer Portal; impact: Customer cannot file expense reports.,subject='Cannot download invoice PDF'; system='Customer Portal'; symptom='Customer Portal billing record does not match the customer's expected account state.',billing_finance,2026-02-16T01:56:00,2026-02-17T17:56:00
TKT-00038,2026-02-26T10:45:29,IT-003,password_reset,high,tier=enterprise; urgency=critical; category=password_reset,0.88,true,Olu Fontaine at Pioneer Foods reports password reset link expired in Customer Portal; impact: Customer demo delayed.,subject='Password reset link expired'; system='Customer Portal'; symptom='Reset workflow for Customer Portal does not complete for the affected account.',identity_security,2026-02-26T10:06:00,2026-02-27T08:06:00
TKT-00039,2026-02-03T14:02:08,IT-008,email_calendar,medium,tier=premium; urgency=low; category=email_calendar,0.74,false,Bea Vega at Cypress Analytics reports email calendar sync issue in Email; impact: User missed customer meeting.,subject='Email calendar sync issue'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',identity_security,2026-02-03T18:52:00,2026-02-05T10:52:00
TKT-00040,2026-02-26T10:27:20,IT-004,other,high,tier=enterprise; urgency=medium; category=other,0.81,false,Kai Jeong at Pioneer Foods reports general question about software list in Customer Portal; impact: Productivity blocker for one user.,subject='General question about software list'; system='Customer Portal'; symptom='The user is unsure which team owns the Customer Portal request.',application_engineering,2026-02-26T11:09:00,2026-02-27T09:09:00
TKT-00041,2026-02-08T23:31:58,IT-003,network_connectivity,urgent,tier=enterprise; urgency=high; category=network_connectivity,0.51,false,Wren Singh at Pioneer Foods reports need password reset in Customer Portal; impact: One user blocked from logging in.,subject='Need password reset'; system='Customer Portal'; symptom='Reset workflow for Customer Portal does not complete for the affected account.',network_infra,2026-02-08T21:20:00,2026-02-09T04:20:00
TKT-00042,2026-02-01T06:29:55,IT-008,security_request,high,tier=premium; urgency=medium; category=security_request,0.96,false,Wren Jeong at Tessera Manufacturing reports suspicious login notification in Identity Provider; impact: Possible account compromise.,subject='Suspicious login notification'; system='Identity Provider'; symptom='Identity Provider access or security state needs human review before action.',identity_security,2026-02-01T03:10:00,2026-02-02T01:10:00
TKT-00043,2026-01-16T12:58:33,IT-006,email_calendar,high,tier=enterprise; urgency=high; category=email_calendar,0.99,false,Felix Kapoor at Lumen Systems reports email calendar sync issue in Email; impact: User missed customer meeting.,subject='Email calendar sync issue'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',identity_security,2026-01-16T09:24:00,2026-01-17T07:24:00
TKT-00044,2026-03-20T09:22:12,IT-008,email_calendar,medium,tier=standard; urgency=medium; category=email_calendar,0.81,false,Kai Chen at Polaris Logistics reports email calendar sync issue in Email; impact: User missed customer meeting.,subject='Email calendar sync issue'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',identity_security,2026-03-20T14:50:00,2026-03-22T06:50:00
TKT-00045,2026-02-05T22:43:48,IT-003,security_request,medium,tier=standard; urgency=low; category=security_request,0.82,true,Bea Fontaine at Aurora Capital reports vendor needs limited portal access in Identity Provider; impact: Audit blocked without access.,subject='Vendor needs limited portal access'; system='Identity Provider'; symptom='Identity Provider access or security state needs human review before action.',identity_security,2026-02-06T04:05:00,2026-02-07T20:05:00
TKT-00046,2026-02-03T03:14:50,IT-001,login_access,medium,tier=standard; urgency=medium; category=login_access,0.97,false,Dani Walsh at Quartz Logistics reports mfa prompt never arrives in CRM; impact: User cannot access required system.,subject='MFA prompt never arrives'; system='CRM'; symptom='CRM sign-in fails before the user reaches the app home page.',identity_security,2026-02-03T09:03:00,2026-02-05T01:03:00
TKT-00047,2026-03-23T00:37:10,IT-003,other,medium,tier=premium; urgency=medium; category=other,0.74,false,Xavi Chen at Tessera Manufacturing reports need help with a workflow in Customer Portal; impact: User unable to complete task.,subject='Need help with a workflow'; system='Customer Portal'; symptom='The user is unsure which team owns the Customer Portal request.',application_engineering,2026-03-23T05:35:00,2026-03-24T21:35:00
TKT-00048,2026-01-19T19:39:33,IT-008,password_reset,high,tier=enterprise; urgency=high; category=password_reset,0.97,false,Olu Xu at Lumen Systems reports need password reset in Identity Provider; impact: One user blocked from logging in.,subject='Need password reset'; system='Identity Provider'; symptom='Reset workflow for Identity Provider does not complete for the affected account.',identity_security,2026-01-19T20:37:00,2026-01-20T18:37:00
TKT-00049,2026-03-13T19:30:36,IT-008,billing_account,medium,tier=standard; urgency=high; category=billing_account,0.94,false,Yuki Bose at Aurora Capital reports wrong billing region applied in Billing System; impact: Finance unable to close the month.,subject='Wrong billing region applied'; system='Billing System'; symptom='Billing System billing record does not match the customer's expected account state.',billing_finance,2026-03-14T02:11:00,2026-03-15T18:11:00
TKT-00050,2026-02-22T17:40:41,IT-006,login_access,high,tier=premium; urgency=high; category=login_access,0.98,false,Wren Tanaka at Quartz Bioworks reports stuck in sso redirect loop in CRM; impact: Two team members cannot start the day's work.,subject='Stuck in SSO redirect loop'; system='CRM'; symptom='CRM sign-in fails before the user reaches the app home page.',identity_security,2026-02-22T14:10:00,2026-02-23T12:10:00
TKT-00051,2026-02-24T03:53:50,IT-008,password_reset,low,tier=standard; urgency=medium; category=password_reset,0.66,false,Priya Vega at Aurora Capital reports need password reset in CRM; impact: One user blocked from logging in.,subject='Need password reset'; system='CRM'; symptom='Reset workflow for CRM does not complete for the affected account.',identity_security,2026-02-25T03:35:00,2026-02-27T03:35:00
TKT-00052,2026-01-18T18:46:01,IT-003,login_access,medium,tier=standard; urgency=medium; category=login_access,0.88,false,Alex Ivanov at Polaris Robotics reports stuck in sso redirect loop in Identity Provider; impact: Two team members cannot start the day's work.,subject='Stuck in SSO redirect loop'; system='Identity Provider'; symptom='Identity Provider sign-in fails before the user reaches the app home page.',identity_security,2026-01-18T21:46:00,2026-01-20T13:46:00
TKT-00053,2026-03-30T18:16:37,IT-003,billing_account,high,tier=enterprise; urgency=medium; category=billing_account,0.92,false,Hassan Quintero at Pioneer Foods reports wrong billing region applied in Customer Portal; impact: Finance unable to close the month.,subject='Wrong billing region applied'; system='Customer Portal'; symptom='Customer Portal billing record does not match the customer's expected account state.',billing_finance,2026-03-30T15:08:00,2026-03-31T13:08:00
TKT-00054,2026-02-11T13:17:52,IT-005,hardware_issue,medium,tier=premium; urgency=medium; category=hardware_issue,0.93,false,Vera Rao at Pioneer Bioworks reports laptop battery drains in 1 hour in Customer Portal; impact: Travel-blocking hardware issue.,subject='Laptop battery drains in 1 hour'; system='Customer Portal'; symptom='Device or peripheral behavior remains faulty after a basic restart.',hardware_field,2026-02-11T20:24:00,2026-02-13T12:24:00
TKT-00055,2026-02-08T10:48:32,IT-001,billing_account,medium,tier=standard; urgency=medium; category=billing_account,0.65,false,Jorge Eskola at Meridian Marine Solutions reports cannot download invoice pdf in Billing System; impact: Customer cannot file expense reports.,subject='Cannot download invoice PDF'; system='Billing System'; symptom='Billing System billing record does not match the customer's expected account state.',billing_finance,2026-02-08T18:30:00,2026-02-10T10:30:00
TKT-00056,2026-03-07T04:15:13,IT-008,login_access,low,tier=standard; urgency=low; category=login_access,0.96,false,Jorge Grover at Pacific Bioworks reports account locked after travel in CRM; impact: Field rep blocked from CRM during customer visit.,subject='Account locked after travel'; system='CRM'; symptom='CRM sign-in fails before the user reaches the app home page.',identity_security,2026-03-08T03:25:00,2026-03-10T03:25:00
TKT-00057,2026-02-13T07:14:39,IT-003,software_bug,high,tier=enterprise; urgency=medium; category=software_bug,0.68,true,Lin Grover at Lumen Systems reports suspicious login notification in Identity Provider; impact: Possible account compromise.,subject='Suspicious login notification'; system='Identity Provider'; symptom='Identity Provider access or security state needs human review before action.',application_engineering,2026-02-13T07:32:00,2026-02-14T05:32:00
TKT-00058,2026-03-23T02:42:14,IT-006,network_connectivity,high,tier=premium; urgency=medium; category=network_connectivity,0.98,false,Imani Nair at Cypress Health reports high latency to internal apps in VPN; impact: Whole regional team affected.,subject='High latency to internal apps'; system='VPN'; symptom='VPN connectivity is intermittent enough to interrupt work.',network_infra,2026-03-23T00:00:00,2026-03-23T22:00:00
TKT-00059,2026-01-16T06:03:07,IT-003,hardware_issue,high,tier=enterprise; urgency=medium; category=hardware_issue,0.86,false,Erin Holm at Lumen Systems reports laptop battery drains in 1 hour in Customer Portal; impact: Travel-blocking hardware issue.,subject='Laptop battery drains in 1 hour'; system='Customer Portal'; symptom='Device or peripheral behavior remains faulty after a basic restart.',hardware_field,2026-01-16T02:47:00,2026-01-17T00:47:00
TKT-00060,2026-03-14T08:04:00,IT-006,email_calendar,medium,tier=premium; urgency=medium; category=email_calendar,0.94,false,Noor Rao at Summit Health reports out of office not sending in Email; impact: Stakeholders unaware of leave.,subject='Out of office not sending'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',identity_security,2026-03-14T14:37:00,2026-03-16T06:37:00
TKT-00061,2026-02-24T12:51:53,IT-005,login_access,high,tier=premium; urgency=medium; category=login_access,0.92,true,Jorge Fontaine at Tessera Manufacturing reports mfa prompt never arrives in CRM; impact: User cannot access required system.,subject='MFA prompt never arrives'; system='CRM'; symptom='CRM sign-in fails before the user reaches the app home page.',identity_security,2026-02-24T13:58:00,2026-02-25T11:58:00
TKT-00062,2026-01-17T16:24:29,IT-008,software_bug,high,tier=enterprise; urgency=medium; category=software_bug,0.9,false,Uma Rao at Pioneer Foods reports app freezes when opening report in Customer Portal; impact: Reporting workflow unusable.,subject='App freezes when opening report'; system='Customer Portal'; symptom='Customer Portal behavior is repeatable and differs from yesterday's behavior.',application_engineering,2026-01-17T14:54:00,2026-01-18T12:54:00
TKT-00063,2026-03-25T10:51:19,IT-001,software_bug,high,tier=enterprise; urgency=medium; category=software_bug,0.97,true,Grace Quintero at Pioneer Foods reports saved filter not loading on dashboard in Analytics Dashboard; impact: Manager dashboard broken before exec review.,subject='Saved filter not loading on dashboard'; system='Analytics Dashboard'; symptom='Analytics Dashboard behavior is repeatable and differs from yesterday's behavior.',application_engineering,2026-03-25T06:59:00,2026-03-26T04:59:00
TKT-00064,2026-03-10T23:04:17,IT-002,password_reset,low,tier=standard; urgency=low; category=password_reset,0.96,false,Grace Rao at Ironhill Capital reports need password reset in CRM; impact: One user blocked from logging in.,subject='Need password reset'; system='CRM'; symptom='Reset workflow for CRM does not complete for the affected account.',identity_security,2026-03-11T19:31:00,2026-03-13T19:31:00
TKT-00065,2026-01-19T19:05:03,IT-002,password_reset,medium,tier=premium; urgency=medium; category=password_reset,0.91,false,Theo Nair at Cypress Health reports need password reset in Customer Portal; impact: One user blocked from logging in.,subject='Need password reset'; system='Customer Portal'; symptom='Reset workflow for Customer Portal does not complete for the affected account.',identity_security,2026-01-20T00:43:00,2026-01-21T16:43:00
TKT-00066,2026-03-23T00:56:05,IT-004,other,high,tier=enterprise; urgency=medium; category=other,0.65,true,Yuki Liang at Pioneer Foods reports equipment return process in Customer Portal; impact: Offboarding workflow.,subject='Equipment return process'; system='Customer Portal'; symptom='The user is unsure which team owns the Customer Portal request.',application_engineering,2026-03-22T22:47:00,2026-03-23T20:47:00
TKT-00067,2026-02-04T19:39:42,IT-002,network_connectivity,medium,tier=standard; urgency=medium; category=network_connectivity,0.92,false,Ravi Holm at Pacific Bioworks reports vpn disconnects every few minutes in VPN; impact: Remote engineer cannot stay connected to internal tools.,subject='VPN disconnects every few minutes'; system='VPN'; symptom='VPN connectivity is intermittent enough to interrupt work.',network_infra,2026-02-04T22:57:00,2026-02-06T14:57:00
TKT-00068,2026-03-29T23:42:21,IT-006,data_reporting,medium,tier=standard; urgency=high; category=data_reporting,0.58,true,Theo Chen at Meridian Studios reports crm export missing records in CRM; impact: QBR slides cannot be finalized.,"subject='CRM export missing records'; system='CRM'; symptom='CRM data output is stale, incomplete, or unavailable.'",data_analytics,2026-03-30T06:41:00,2026-03-31T22:41:00
TKT-00069,2026-01-18T23:51:07,IT-003,security_request,high,tier=premium; urgency=medium; category=security_request,0.87,false,Sana Tanaka at Tessera Manufacturing reports vendor needs limited portal access in Identity Provider; impact: Audit blocked without access.,subject='Vendor needs limited portal access'; system='Identity Provider'; symptom='Identity Provider access or security state needs human review before action.',identity_security,2026-01-19T01:35:00,2026-01-19T23:35:00
TKT-00070,2026-03-10T21:23:08,IT-002,data_reporting,medium,tier=standard; urgency=low; category=data_reporting,0.93,false,Noor Fontaine at Meridian Marine Solutions reports stale numbers in finance dashboard in CRM; impact: Monthly close delayed by export issue.,"subject='Stale numbers in finance dashboard'; system='CRM'; symptom='CRM data output is stale, incomplete, or unavailable.'",data_analytics,2026-03-11T05:06:00,2026-03-12T21:06:00
TKT-00071,2026-01-20T18:00:49,IT-005,email_calendar,low,tier=standard; urgency=low; category=email_calendar,0.8,false,Sana Chen at Meridian Studios reports email calendar sync issue in Email; impact: User missed customer meeting.,subject='Email calendar sync issue'; system='Email'; symptom='Email calendar or mailbox state is not syncing across devices.',identity_security,2026-01-21T12:50:00,2026-01-23T12:50:00
TKT-00072,2026-02-06T19:31:44,IT-004,hardware_issue,low,tier=standard; urgency=low; category=hardware_issue,0.79,false,Quinn Holm at Quartz Logistics reports wireless mouse not working in Customer Portal; impact: Single user partially blocked.,subject='Wireless mouse not working'; system='Customer Portal'; symptom='Device or peripheral behavior remains faulty after a basic restart.',hardware_field,2026-02-07T14:11:00,2026-02-09T14:11:00
TKT-00073,2026-01-29T00:07:02,IT-006,billing_account,medium,tier=standard; urgency=medium; category=billing_account,0.98,false,Erin Eskola at Pacific Bioworks reports invoice total looks wrong in Billing System; impact: Finance team holding payment until corrected.,subject='Invoice total looks wrong'; system='Billing System'; symptom='Billing System billing record does not match the customer's expected account state.',billing_finance,2026-01-29T05:12:00,2026-01-30T21:12:00
TKT-00074,2026-01-22T08:45:52,IT-001,password_reset,low,tier=standard; urgency=medium; category=password_reset,0.61,false,Jorge Singh at Helios Health reports need password reset in Customer Portal; impact: One user blocked from logging in.,subject='Need password reset'; system='Customer Portal'; symptom='Reset workflow for Customer Portal does not complete for the affected account.',identity_security,2026-01-23T04:44:00,2026-01-25T04:44:00
