ticket_id,escalated_at,it_member_id,specialist_id,escalation_reason,information_provided,missing_information_flag,requested_specialist_group,handoff_summary,specific_question_for_specialist,customer_evidence_included
TKT-00012,2026-01-20T21:42:06,IT-006,SP-001,re-escalation after rejection,original ticket + first solution + customer feedback,false,hardware_field,Customer rejected first response for Wireless mouse not working; rejection='Steps did not resolve the issue'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00013,2026-03-17T12:59:28,IT-001,SP-006,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,identity_security,Service account password expired in CRM; category=password_reset; priority=medium; customer tried: Tried self-service reset link once.; impact: Nightly export job failing.,Please identify root cause and provide customer-safe resolution steps for CRM.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00015,2026-01-17T04:30:00,IT-004,SP-003,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,hardware_field,Printer offline error in Customer Portal; category=hardware_issue; priority=low; customer tried: Restarted the device and checked cables/batteries.; impact: Team cannot print client deliverables.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00016,2026-02-02T10:41:38,IT-005,SP-002,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried + attachment; missing reproduction steps,true,identity_security,Need access for new employee in Identity Provider; category=security_request; priority=urgent; customer tried: Checked with manager or security contact before submitting.; impact: New hire cannot access required systems.,Please identify root cause and provide customer-safe resolution steps for Identity Provider.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00019,2026-02-10T01:22:34,IT-008,SP-009,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,network_infra,Wi-Fi drops in conference room in VPN; category=network_connectivity; priority=high; customer tried: Restarted client and retried from the same location.; impact: Customer demos interrupted.,Please identify root cause and provide customer-safe resolution steps for VPN.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00022,2026-02-18T16:47:19,IT-006,SP-006,re-escalation after rejection,original ticket + first solution + customer feedback,false,identity_security,Customer rejected first response for Account locked after travel; rejection='Solution applied but symptom persists'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00023,2026-03-21T21:20:45,IT-003,SP-008,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,application_engineering,Email calendar sync issue in Email; category=other; priority=medium; customer tried: Restarted mail/calendar app.; impact: User missed customer meeting.,Please identify root cause and provide customer-safe resolution steps for Email.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00025,2026-02-25T16:01:49,IT-003,SP-006,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,identity_security,"Account locked after travel in CRM; category=login_access; priority=medium; customer tried: Retyped password, tried a private browser window.; impact: Field rep blocked from CRM during customer visit.",Please identify root cause and provide customer-safe resolution steps for CRM.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00025,2026-02-27T14:44:45,IT-003,SP-006,re-escalation after rejection,original ticket + first solution + customer feedback,false,identity_security,Customer rejected first response for Account locked after travel; rejection='Solution applied but symptom persists'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00026,2026-02-05T00:31:12,IT-003,SP-002,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,identity_security,"Cannot log into customer portal in Customer Portal; category=login_access; priority=high; customer tried: Retyped password, tried a private browser window.; impact: One user blocked from logging in.",Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00028,2026-03-03T23:29:28,IT-008,SP-002,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,identity_security,Need access for new employee in Identity Provider; category=security_request; priority=high; customer tried: Checked with manager or security contact before submitting.; impact: New hire cannot access required systems.,Please identify root cause and provide customer-safe resolution steps for Identity Provider.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00029,2026-03-19T22:18:28,IT-001,SP-006,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,identity_security,Shared mailbox missing in Email; category=email_calendar; priority=urgent; customer tried: Restarted mail/calendar app.; impact: Support intake delayed.,Please identify root cause and provide customer-safe resolution steps for Email.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00031,2026-02-02T13:55:14,IT-003,SP-002,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried,false,identity_security,Shared mailbox missing in Email; category=email_calendar; priority=medium; customer tried: Restarted mail/calendar app.; impact: Support intake delayed.,Please identify root cause and provide customer-safe resolution steps for Email.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00034,2026-01-21T16:30:32,IT-007,SP-006,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried; missing reproduction steps,true,identity_security,"Account locked after travel in Identity Provider; category=login_access; priority=medium; customer tried: Retyped password, tried a private browser window.; impact: Field rep blocked from CRM during customer visit.",Please identify root cause and provide customer-safe resolution steps for Identity Provider.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00035,2026-03-14T20:51:39,IT-006,SP-010,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,billing_finance,Wrong billing region applied in Customer Portal; category=billing_account; priority=medium; customer tried: Checked the invoice/account page twice.; impact: Finance unable to close the month.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00036,2026-02-12T10:02:59,IT-007,SP-006,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,identity_security,Out of office not sending in Email; category=email_calendar; priority=low; customer tried: Restarted mail/calendar app.; impact: Stakeholders unaware of leave.,Please identify root cause and provide customer-safe resolution steps for Email.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00037,2026-02-15T21:48:13,IT-007,SP-010,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,billing_finance,Cannot download invoice PDF in Customer Portal; category=billing_account; priority=medium; customer tried: Checked the invoice/account page twice.; impact: Customer cannot file expense reports.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00038,2026-02-26T11:44:42,IT-003,SP-006,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried,false,identity_security,Password reset link expired in Customer Portal; category=password_reset; priority=high; customer tried: Tried self-service reset link once.; impact: Customer demo delayed.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00040,2026-02-26T12:04:41,IT-004,SP-008,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,application_engineering,General question about software list in Customer Portal; category=other; priority=high; customer tried: Searched the help center but did not find a clear owner.; impact: Productivity blocker for one user.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00041,2026-02-09T01:37:02,IT-003,SP-004,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,network_infra,Need password reset in Customer Portal; category=network_connectivity; priority=urgent; customer tried: Tried self-service reset link once.; impact: One user blocked from logging in.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00042,2026-02-01T08:29:52,IT-008,SP-006,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,identity_security,Suspicious login notification in Identity Provider; category=security_request; priority=high; customer tried: Checked with manager or security contact before submitting.; impact: Possible account compromise.,Please identify root cause and provide customer-safe resolution steps for Identity Provider.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00045,2026-02-05T23:30:56,IT-003,SP-006,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried,false,identity_security,Vendor needs limited portal access in Identity Provider; category=security_request; priority=medium; customer tried: Checked with manager or security contact before submitting.; impact: Audit blocked without access.,Please identify root cause and provide customer-safe resolution steps for Identity Provider.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00046,2026-02-03T05:22:15,IT-001,SP-002,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,identity_security,"MFA prompt never arrives in CRM; category=login_access; priority=medium; customer tried: Retyped password, tried a private browser window.; impact: User cannot access required system.",Please identify root cause and provide customer-safe resolution steps for CRM.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00047,2026-03-23T02:50:26,IT-003,SP-008,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,application_engineering,Need help with a workflow in Customer Portal; category=other; priority=medium; customer tried: Searched the help center but did not find a clear owner.; impact: User unable to complete task.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00053,2026-03-30T19:59:53,IT-003,SP-010,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,billing_finance,Wrong billing region applied in Customer Portal; category=billing_account; priority=high; customer tried: Checked the invoice/account page twice.; impact: Finance unable to close the month.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00054,2026-02-11T16:16:30,IT-005,SP-003,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,hardware_field,Laptop battery drains in 1 hour in Customer Portal; category=hardware_issue; priority=medium; customer tried: Restarted the device and checked cables/batteries.; impact: Travel-blocking hardware issue.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00055,2026-02-08T12:43:29,IT-001,SP-010,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,billing_finance,Cannot download invoice PDF in Billing System; category=billing_account; priority=medium; customer tried: Checked the invoice/account page twice.; impact: Customer cannot file expense reports.,Please identify root cause and provide customer-safe resolution steps for Billing System.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00057,2026-02-13T09:28:26,IT-003,SP-008,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried; missing reproduction steps,true,application_engineering,Suspicious login notification in Identity Provider; category=software_bug; priority=high; customer tried: Checked with manager or security contact before submitting.; impact: Possible account compromise.,Please identify root cause and provide customer-safe resolution steps for Identity Provider.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00058,2026-03-23T04:23:38,IT-006,SP-009,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried; missing reproduction steps,true,network_infra,High latency to internal apps in VPN; category=network_connectivity; priority=high; customer tried: Restarted client and retried from the same location.; impact: Whole regional team affected.,Please identify root cause and provide customer-safe resolution steps for VPN.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00059,2026-01-16T07:33:35,IT-003,SP-001,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,hardware_field,Laptop battery drains in 1 hour in Customer Portal; category=hardware_issue; priority=high; customer tried: Restarted the device and checked cables/batteries.; impact: Travel-blocking hardware issue.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00060,2026-03-14T10:06:44,IT-006,SP-006,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried + attachment; missing reproduction steps,true,identity_security,Out of office not sending in Email; category=email_calendar; priority=medium; customer tried: Restarted mail/calendar app.; impact: Stakeholders unaware of leave.,Please identify root cause and provide customer-safe resolution steps for Email.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00061,2026-02-24T14:14:13,IT-005,SP-002,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried,false,identity_security,"MFA prompt never arrives in CRM; category=login_access; priority=high; customer tried: Retyped password, tried a private browser window.; impact: User cannot access required system.",Please identify root cause and provide customer-safe resolution steps for CRM.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00061,2026-02-25T19:34:09,IT-005,SP-006,re-escalation after rejection,original ticket + first solution + customer feedback,false,identity_security,Customer rejected first response for MFA prompt never arrives; rejection='Need different approach'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00062,2026-01-17T17:58:55,IT-008,SP-008,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,application_engineering,App freezes when opening report in Customer Portal; category=software_bug; priority=high; customer tried: Refreshed browser and repeated the action.; impact: Reporting workflow unusable.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00063,2026-03-25T11:48:06,IT-001,SP-008,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,application_engineering,Saved filter not loading on dashboard in Analytics Dashboard; category=software_bug; priority=high; customer tried: Refreshed browser and repeated the action.; impact: Manager dashboard broken before exec review.,Please identify root cause and provide customer-safe resolution steps for Analytics Dashboard.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00066,2026-03-23T02:53:33,IT-004,SP-008,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried,false,application_engineering,Equipment return process in Customer Portal; category=other; priority=high; customer tried: Searched the help center but did not find a clear owner.; impact: Offboarding workflow.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00067,2026-02-04T21:51:31,IT-002,SP-009,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,network_infra,VPN disconnects every few minutes in VPN; category=network_connectivity; priority=medium; customer tried: Restarted client and retried from the same location.; impact: Remote engineer cannot stay connected to internal tools.,Please identify root cause and provide customer-safe resolution steps for VPN.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00068,2026-03-30T02:10:36,IT-006,SP-005,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried,false,data_analytics,CRM export missing records in CRM; category=data_reporting; priority=medium; customer tried: Refreshed dashboard/export and retried later.; impact: QBR slides cannot be finalized.,Please identify root cause and provide customer-safe resolution steps for CRM.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00068,2026-04-01T04:28:54,IT-006,SP-005,re-escalation after rejection,original ticket + first solution + customer feedback,false,data_analytics,Customer rejected first response for CRM export missing records; rejection='Need different approach'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00069,2026-01-20T03:22:22,IT-003,SP-006,re-escalation after rejection,original ticket + first solution + customer feedback,false,identity_security,Customer rejected first response for Vendor needs limited portal access; rejection='Steps did not resolve the issue'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00075,2026-03-30T22:40:57,IT-001,SP-008,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,application_engineering,General question about software list in Customer Portal; category=other; priority=medium; customer tried: Searched the help center but did not find a clear owner.; impact: Productivity blocker for one user.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00077,2026-03-04T19:54:14,IT-004,SP-004,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried,false,network_infra,VPN disconnects every few minutes in VPN; category=network_connectivity; priority=urgent; customer tried: Restarted client and retried from the same location.; impact: Remote engineer cannot stay connected to internal tools.,Please identify root cause and provide customer-safe resolution steps for VPN.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00080,2026-03-13T09:03:08,IT-004,SP-006,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,identity_security,"Cannot log into customer portal in Identity Provider; category=login_access; priority=low; customer tried: Retyped password, tried a private browser window.; impact: One user blocked from logging in.",Please identify root cause and provide customer-safe resolution steps for Identity Provider.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00081,2026-03-19T16:07:36,IT-002,SP-002,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried; missing reproduction steps,true,identity_security,Service account password expired in Customer Portal; category=password_reset; priority=low; customer tried: Tried self-service reset link once.; impact: Nightly export job failing.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00082,2026-03-18T00:12:16,IT-002,SP-010,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried; missing reproduction steps,true,billing_finance,Cannot download invoice PDF in Billing System; category=billing_account; priority=urgent; customer tried: Checked the invoice/account page twice.; impact: Customer cannot file expense reports.,Please identify root cause and provide customer-safe resolution steps for Billing System.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00082,2026-03-19T23:51:09,IT-002,SP-010,re-escalation after rejection,original ticket + first solution + customer feedback,false,billing_finance,Customer rejected first response for Cannot download invoice PDF; rejection='Solution applied but symptom persists'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00083,2026-03-04T17:47:45,IT-002,SP-005,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,data_analytics,Need help with a workflow in Customer Portal; category=data_reporting; priority=medium; customer tried: Searched the help center but did not find a clear owner.; impact: User unable to complete task.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00084,2026-01-20T13:19:32,IT-008,SP-001,re-escalation after rejection,original ticket + first solution + customer feedback,false,hardware_field,Customer rejected first response for Wireless mouse not working; rejection='Solution applied but symptom persists'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00085,2026-02-26T18:55:41,IT-003,SP-003,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,hardware_field,Records missing after CRM export in Customer Portal; category=hardware_issue; priority=medium; customer tried: Refreshed browser and repeated the action.; impact: Sales pipeline data inconsistent.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00085,2026-03-01T21:34:18,IT-003,SP-003,re-escalation after rejection,original ticket + first solution + customer feedback,true,hardware_field,Customer rejected first response for Records missing after CRM export; rejection='Steps did not resolve the issue'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00086,2026-02-24T22:19:02,IT-007,SP-004,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried; missing reproduction steps,true,network_infra,Wi-Fi drops in conference room in VPN; category=network_connectivity; priority=medium; customer tried: Restarted client and retried from the same location.; impact: Customer demos interrupted.,Please identify root cause and provide customer-safe resolution steps for VPN.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00086,2026-02-26T09:26:43,IT-007,SP-004,re-escalation after rejection,original ticket + first solution + customer feedback,false,network_infra,Customer rejected first response for Wi-Fi drops in conference room; rejection='Issue recurred after a few hours'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00089,2026-03-27T16:26:01,IT-003,SP-008,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,application_engineering,Saved filter not loading on dashboard in CRM; category=software_bug; priority=high; customer tried: Refreshed browser and repeated the action.; impact: Manager dashboard broken before exec review.,Please identify root cause and provide customer-safe resolution steps for CRM.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00090,2026-03-21T06:43:09,IT-005,SP-010,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,billing_finance,Wrong billing region applied in Billing System; category=billing_account; priority=medium; customer tried: Checked the invoice/account page twice.; impact: Finance unable to close the month.,Please identify root cause and provide customer-safe resolution steps for Billing System.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00091,2026-02-11T16:08:14,IT-005,SP-008,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried,false,application_engineering,Saved filter not loading on dashboard in Inventory App; category=software_bug; priority=medium; customer tried: Refreshed browser and repeated the action.; impact: Manager dashboard broken before exec review.,Please identify root cause and provide customer-safe resolution steps for Inventory App.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00092,2026-01-21T06:37:09,IT-002,SP-005,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,data_analytics,CRM export missing records in Analytics Dashboard; category=data_reporting; priority=medium; customer tried: Refreshed dashboard/export and retried later.; impact: QBR slides cannot be finalized.,Please identify root cause and provide customer-safe resolution steps for Analytics Dashboard.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00094,2026-02-21T16:27:14,IT-004,SP-002,needs specialist review per triage flag,subject + description + business impact + affected system + urgency + steps already tried; missing reproduction steps,true,identity_security,Out of office not sending in Email; category=email_calendar; priority=high; customer tried: Restarted mail/calendar app.; impact: Stakeholders unaware of leave.,Please identify root cause and provide customer-safe resolution steps for Email.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00095,2026-02-20T19:11:16,IT-001,SP-008,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,application_engineering,Saved filter not loading on dashboard in Analytics Dashboard; category=software_bug; priority=medium; customer tried: Refreshed browser and repeated the action.; impact: Manager dashboard broken before exec review.,Please identify root cause and provide customer-safe resolution steps for Analytics Dashboard.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00095,2026-02-25T12:19:24,IT-001,SP-008,re-escalation after rejection,original ticket + first solution + customer feedback,false,application_engineering,Customer rejected first response for Saved filter not loading on dashboard; rejection='Need different approach'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00096,2026-03-19T09:22:34,IT-001,SP-009,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,network_infra,Wrong billing region applied in Customer Portal; category=network_connectivity; priority=medium; customer tried: Checked the invoice/account page twice.; impact: Finance unable to close the month.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00096,2026-03-21T09:40:21,IT-001,SP-009,re-escalation after rejection,original ticket + first solution + customer feedback,false,network_infra,Customer rejected first response for Wrong billing region applied; rejection='Need different approach'.,Review why the first resolution failed and provide corrected customer-safe steps.,original_ticket|first_response|customer_rejection
TKT-00098,2026-02-25T23:22:49,IT-003,SP-008,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,application_engineering,Need help with a workflow in Customer Portal; category=other; priority=medium; customer tried: Searched the help center but did not find a clear owner.; impact: User unable to complete task.,Please identify root cause and provide customer-safe resolution steps for Customer Portal.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
TKT-00099,2026-01-23T19:00:19,IT-008,SP-005,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried + attachment,false,data_analytics,Analytics dashboard not loading in Inventory App; category=data_reporting; priority=low; customer tried: Refreshed dashboard/export and retried later.; impact: Customer demo delayed because dashboard is down.,Please identify root cause and provide customer-safe resolution steps for Inventory App.,ticket_description|business_impact|steps_already_tried|attachment|faq_search_notes
TKT-00100,2026-02-23T12:38:38,IT-006,SP-002,no FAQ match found,subject + description + business impact + affected system + urgency + steps already tried,false,identity_security,"MFA prompt never arrives in Identity Provider; category=login_access; priority=medium; customer tried: Retyped password, tried a private browser window.; impact: User cannot access required system.",Please identify root cause and provide customer-safe resolution steps for Identity Provider.,ticket_description|business_impact|steps_already_tried|no_attachment|faq_search_notes
