ticket_id,specialist_id,investigation_started_at,solution_created_at,root_cause,solution_summary,specialist_notes,requires_follow_up_flag,diagnostic_steps,evidence_reviewed,customer_action_required,confidence_score
TKT-00035,SP-010,2026-03-15T01:33:32,2026-03-15T15:20:45,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.94
TKT-00036,SP-006,2026-02-12T13:28:20,2026-02-12T21:39:51,Stale OAuth token in calendar provider,Revoke and reissue OAuth token; ask user to reauthorize on device.,Investigated on Email. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known email_calendar patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.85
TKT-00037,SP-010,2026-02-16T00:18:21,2026-02-16T14:39:36,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.85
TKT-00038,SP-006,2026-02-26T12:58:05,2026-02-26T14:08:18,Edge-case in privileged-account reset workflow,Run elevated reset workflow with ticket-approval token; confirm sign-in.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known password_reset patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.85
TKT-00040,SP-008,2026-02-26T14:11:42,2026-02-28T23:56:24,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.83
TKT-00041,SP-004,2026-02-09T03:52:25,2026-02-09T10:12:20,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.81
TKT-00042,SP-006,2026-02-01T10:39:33,2026-02-03T09:56:03,Manual access review required for sensitive role,"Open access review, obtain manager and security approval, grant scoped role.",Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known security_request patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.75
TKT-00045,SP-006,2026-02-06T03:21:27,2026-02-08T01:48:28,Manual access review required for sensitive role,"Open access review, obtain manager and security approval, grant scoped role.",Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known security_request patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.78
TKT-00046,SP-002,2026-02-03T06:35:20,2026-02-03T08:53:25,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on CRM. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.89
TKT-00047,SP-008,2026-03-23T07:07:27,2026-03-24T15:48:58,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.92
TKT-00053,SP-010,2026-03-31T01:53:02,2026-03-31T04:37:13,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.89
TKT-00054,SP-003,2026-02-11T20:07:21,2026-02-13T02:34:30,Driver mismatch with current OS image,Push updated driver via MDM and confirm device reports healthy.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known hardware_issue patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.74
TKT-00055,SP-010,2026-02-08T17:30:49,2026-02-08T20:51:36,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Billing System. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked Billing System health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.91
TKT-00057,SP-008,2026-02-13T11:01:34,2026-02-14T18:24:28,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Identity Provider. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.93
TKT-00058,SP-009,2026-03-23T05:31:47,2026-03-23T07:37:36,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on VPN. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked VPN health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.88
TKT-00059,SP-001,2026-01-16T13:27:15,2026-01-17T16:10:09,Driver mismatch with current OS image,Push updated driver via MDM and confirm device reports healthy.,Investigated on Customer Portal. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known hardware_issue patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.9
TKT-00060,SP-006,2026-03-14T13:39:07,2026-03-14T20:10:07,Stale OAuth token in calendar provider,Revoke and reissue OAuth token; ask user to reauthorize on device.,Investigated on Email. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known email_calendar patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.93
TKT-00061,SP-002,2026-02-24T19:25:07,2026-02-25T00:17:13,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on CRM. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked CRM health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.88
TKT-00061,SP-006,2026-02-25T21:05:12,2026-02-26T00:12:16,Permission cache out of sync between SSO and target system (post-rejection deeper review),Force a refresh of the user's SSO group membership and clear server-side session cache. Adjusted based on customer feedback.,Investigated on CRM. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper CRM diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.82
TKT-00062,SP-008,2026-01-17T19:39:57,2026-01-18T19:17:06,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.92
TKT-00063,SP-008,2026-03-25T16:53:39,2026-03-26T18:35:17,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Analytics Dashboard. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Analytics Dashboard health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.82
TKT-00066,SP-008,2026-03-23T07:41:00,2026-03-24T01:29:01,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.8
TKT-00067,SP-009,2026-02-05T01:58:52,2026-02-05T12:18:31,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on VPN. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked VPN health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.95
TKT-00068,SP-005,2026-03-30T07:09:34,2026-03-31T08:22:28,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on CRM. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.96
TKT-00068,SP-005,2026-04-01T07:25:30,2026-04-02T23:52:32,Warehouse job missed scheduled run (post-rejection deeper review),Manually trigger affected job and adjust scheduler to avoid recurrence. Adjusted based on customer feedback.,Investigated on CRM. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper CRM diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.77
TKT-00069,SP-006,2026-01-20T06:56:22,2026-01-21T10:26:04,Manual access review required for sensitive role (post-rejection deeper review),"Open access review, obtain manager and security approval, grant scoped role. Adjusted based on customer feedback.",Investigated on Identity Provider. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Identity Provider diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.77
TKT-00075,SP-008,2026-03-31T02:14:38,2026-04-01T09:59:59,Cross-team request requiring case-by-case handling,Coordinate with requested team and provide tailored next steps.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known other patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.75
TKT-00077,SP-004,2026-03-05T00:35:42,2026-03-05T09:43:37,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on VPN. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked VPN health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.93
TKT-00080,SP-006,2026-03-13T11:32:11,2026-03-13T15:41:29,Permission cache out of sync between SSO and target system,Force a refresh of the user's SSO group membership and clear server-side session cache.,Investigated on Identity Provider. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Identity Provider health/logs; compared against known login_access patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.95
TKT-00081,SP-002,2026-03-19T20:58:25,2026-03-20T02:33:43,Edge-case in privileged-account reset workflow,Run elevated reset workflow with ticket-approval token; confirm sign-in.,Investigated on Customer Portal. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,true,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known password_reset patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.96
TKT-00082,SP-010,2026-03-18T00:50:46,2026-03-18T08:52:17,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Billing System. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,true,Reviewed ticket symptoms; checked Billing System health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.89
TKT-00082,SP-010,2026-03-20T00:50:11,2026-03-20T06:47:47,Tax engine using stale region cache (post-rejection deeper review),Refresh tax engine cache for affected account; reissue invoice with corrected line items. Adjusted based on customer feedback.,Investigated on Billing System. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Billing System diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.93
TKT-00083,SP-005,2026-03-04T23:33:22,2026-03-06T16:08:20,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.96
TKT-00084,SP-001,2026-01-20T14:35:34,2026-01-21T14:46:14,Driver mismatch with current OS image (post-rejection deeper review),Push updated driver via MDM and confirm device reports healthy. Adjusted based on customer feedback.,Investigated on Customer Portal. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Customer Portal diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.83
TKT-00085,SP-003,2026-02-26T21:00:19,2026-02-28T13:30:13,Driver mismatch with current OS image,Push updated driver via MDM and confirm device reports healthy.,Investigated on Customer Portal. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Customer Portal health/logs; compared against known hardware_issue patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.9
TKT-00085,SP-003,2026-03-01T23:12:39,2026-03-03T00:28:14,Driver mismatch with current OS image (post-rejection deeper review),Push updated driver via MDM and confirm device reports healthy. Adjusted based on customer feedback.,Investigated on Customer Portal. Initial information from IT team was incomplete; specialist requested clarification mid-investigation. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper Customer Portal diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.92
TKT-00086,SP-004,2026-02-25T00:12:55,2026-02-25T16:42:12,Misconfigured route on regional gateway,Apply corrected route table entry and validate user can reach internal hosts.,Investigated on VPN. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked VPN health/logs; compared against known network_connectivity patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.84
TKT-00086,SP-004,2026-02-26T11:48:30,2026-02-27T06:54:59,Misconfigured route on regional gateway (post-rejection deeper review),Apply corrected route table entry and validate user can reach internal hosts. Adjusted based on customer feedback.,Investigated on VPN. Sufficient information provided up front. Follow-up after first attempt rejected.,false,Compared first solution with customer rejection; reviewed deeper VPN diagnostics.,original_ticket|first_solution|customer_rejection|system_health,Retry corrected steps and confirm whether the symptom is gone.,0.94
TKT-00089,SP-008,2026-03-27T20:02:44,2026-03-30T12:44:18,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on CRM. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked CRM health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.82
TKT-00090,SP-010,2026-03-21T12:15:44,2026-03-21T22:11:16,Tax engine using stale region cache,Refresh tax engine cache for affected account; reissue invoice with corrected line items.,Investigated on Billing System. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Billing System health/logs; compared against known billing_account patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.78
TKT-00091,SP-008,2026-02-11T16:54:39,2026-02-12T09:20:35,Race condition in background sync job,Apply temporary mitigation (re-queue affected records); engineering ticket logged for permanent fix.,Investigated on Inventory App. Sufficient information provided up front.,false,Reviewed ticket symptoms; checked Inventory App health/logs; compared against known software_bug patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.95
TKT-00092,SP-005,2026-01-21T12:23:31,2026-01-21T21:28:18,Warehouse job missed scheduled run,Manually trigger affected job and adjust scheduler to avoid recurrence.,Investigated on Analytics Dashboard. Sufficient information provided up front.,true,Reviewed ticket symptoms; checked Analytics Dashboard health/logs; compared against known data_reporting patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.87
TKT-00094,SP-002,2026-02-21T17:46:16,2026-02-22T02:24:52,Stale OAuth token in calendar provider,Revoke and reissue OAuth token; ask user to reauthorize on device.,Investigated on Email. Initial information from IT team was incomplete; specialist requested clarification mid-investigation.,false,Reviewed ticket symptoms; checked Email health/logs; compared against known email_calendar patterns.,ticket_description|business_impact|faq_search_notes|system_health,User must retry workflow and confirm result; IT may need to apply admin-side change first.,0.82
