ticket_id,faq_checked_at,it_member_id,faq_match_found,faq_id,match_confidence,faq_match_notes,search_terms,candidate_faq_ids,required_customer_info_available,faq_application_reason
TKT-00011,2026-02-06T12:20:22,IT-008,true,FAQ-003,0.87,Matched FAQ pattern: account_locked_after_failed_attempts,crm | login_access | stuck in sso redirect loop,FAQ-001|FAQ-002|FAQ-003,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00012,2026-01-19T11:09:57,IT-006,false,"",0.22,Searched FAQ knowledge base; no high-confidence match.,customer portal | hardware_issue | wireless mouse not working,FAQ-016|FAQ-017|FAQ-018,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00013,2026-03-17T11:48:54,IT-001,false,"",0.15,Searched FAQ knowledge base; no high-confidence match.,crm | password_reset | service account password expired,FAQ-006|FAQ-007|FAQ-008,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00014,2026-02-08T16:28:45,IT-007,true,FAQ-021,0.85,Matched FAQ pattern: wifi_reauth_conference_room,vpn | network_connectivity | high latency to internal apps,FAQ-019|FAQ-020|FAQ-021,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00015,2026-01-17T03:16:22,IT-004,false,"",0.15,Searched FAQ knowledge base; no high-confidence match.,customer portal | hardware_issue | printer offline error,FAQ-016|FAQ-017|FAQ-018,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00016,2026-02-02T10:15:31,IT-005,false,"",0.37,Searched FAQ knowledge base; no high-confidence match.,identity provider | security_request | need access for new employee,FAQ-030|FAQ-031,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00017,2026-03-10T08:40:55,IT-005,true,FAQ-004,0.88,Matched FAQ pattern: sso_redirect_unmapped_email,identity provider | login_access | stuck in sso redirect loop,FAQ-004|FAQ-001|FAQ-002,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00018,2026-03-12T10:52:56,IT-008,true,FAQ-012,0.9,Matched FAQ pattern: wrong_tax_rate_after_relocation,customer portal | billing_account | cannot download invoice pdf,FAQ-011|FAQ-012|FAQ-013,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00019,2026-02-10T00:03:54,IT-008,false,"",0.27,Searched FAQ knowledge base; no high-confidence match.,vpn | network_connectivity | wi-fi drops in conference room,FAQ-019|FAQ-020|FAQ-021,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00020,2026-03-11T19:23:19,IT-003,true,FAQ-022,0.92,Matched FAQ pattern: dns_resolver_lag,identity provider | network_connectivity | vpn disconnects every few minutes,FAQ-022|FAQ-019|FAQ-020,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00021,2026-02-21T18:51:31,IT-002,true,FAQ-019,0.88,Matched FAQ pattern: vpn_disconnects_short_intervals,identity provider | network_connectivity | wi-fi drops in conference room,FAQ-019|FAQ-020|FAQ-021,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00022,2026-02-17T17:21:41,IT-006,true,FAQ-002,0.93,Matched FAQ pattern: mfa_code_not_received,crm | login_access | account locked after travel,FAQ-001|FAQ-002|FAQ-003,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00023,2026-03-21T21:08:25,IT-003,false,"",0.18,Searched FAQ knowledge base; no high-confidence match.,email | other | email calendar sync issue,FAQ-032|FAQ-033,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00024,2026-03-06T09:52:12,IT-008,true,FAQ-014,0.86,Matched FAQ pattern: stale_cache_after_release,crm | software_bug | app freezes when opening report,FAQ-014|FAQ-015,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00025,2026-02-25T15:37:59,IT-003,false,"",0.1,Searched FAQ knowledge base; no high-confidence match.,crm | login_access | account locked after travel,FAQ-001|FAQ-002|FAQ-003,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00026,2026-02-04T23:57:31,IT-003,true,FAQ-002,0.94,Matched FAQ pattern: mfa_code_not_received,customer portal | login_access | cannot log into customer portal,FAQ-001|FAQ-002|FAQ-003,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00027,2026-03-25T06:21:59,IT-004,true,FAQ-009,0.73,Matched FAQ pattern: policy_block_on_complexity,customer portal | password_reset | service account password expired,FAQ-009|FAQ-006|FAQ-007,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00028,2026-03-03T22:22:17,IT-008,false,"",0.23,Searched FAQ knowledge base; no high-confidence match.,identity provider | security_request | need access for new employee,FAQ-030|FAQ-031,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00029,2026-03-19T21:26:23,IT-001,false,"",0.09,Searched FAQ knowledge base; no high-confidence match.,email | email_calendar | shared mailbox missing,FAQ-024|FAQ-025|FAQ-026,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00030,2026-02-12T21:09:39,IT-004,true,FAQ-025,0.66,Matched FAQ pattern: shared_mailbox_missing,email | email_calendar | shared mailbox missing,FAQ-024|FAQ-025|FAQ-026,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00031,2026-02-02T13:41:25,IT-003,true,FAQ-026,0.84,Matched FAQ pattern: calendar_invite_double_booking,email | email_calendar | shared mailbox missing,FAQ-024|FAQ-025|FAQ-026,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00032,2026-03-26T13:33:05,IT-002,true,FAQ-006,0.78,Matched FAQ pattern: self_service_reset_failed,customer portal | password_reset | password reset link expired,FAQ-006|FAQ-007|FAQ-008,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00033,2026-03-22T23:05:34,IT-008,true,FAQ-008,0.86,Matched FAQ pattern: service_account_password_expired,customer portal | password_reset | service account password expired,FAQ-006|FAQ-007|FAQ-008,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00034,2026-01-21T15:49:54,IT-007,false,"",0.23,Searched FAQ knowledge base; no high-confidence match.,identity provider | login_access | account locked after travel,FAQ-001|FAQ-002|FAQ-003,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00035,2026-03-14T20:22:13,IT-006,false,"",0.06,Searched FAQ knowledge base; no high-confidence match.,customer portal | billing_account | wrong billing region applied,FAQ-011|FAQ-012|FAQ-013,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00036,2026-02-12T09:53:12,IT-007,false,"",0.41,Searched FAQ knowledge base; no high-confidence match.,email | email_calendar | out of office not sending,FAQ-024|FAQ-025|FAQ-026,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00037,2026-02-15T21:38:34,IT-007,false,"",0.17,Searched FAQ knowledge base; no high-confidence match.,customer portal | billing_account | cannot download invoice pdf,FAQ-011|FAQ-012|FAQ-013,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00038,2026-02-26T10:56:29,IT-003,true,FAQ-007,0.84,Matched FAQ pattern: reset_link_expired,customer portal | password_reset | password reset link expired,FAQ-006|FAQ-007|FAQ-008,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00039,2026-02-03T15:36:50,IT-008,true,FAQ-024,0.66,Matched FAQ pattern: out_of_office_disabled,email | email_calendar | email calendar sync issue,FAQ-024|FAQ-025|FAQ-026,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00040,2026-02-26T11:22:24,IT-004,false,"",0.31,Searched FAQ knowledge base; no high-confidence match.,customer portal | other | general question about software list,FAQ-032|FAQ-033,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00041,2026-02-09T00:10:27,IT-003,false,"",0.22,Searched FAQ knowledge base; no high-confidence match.,customer portal | network_connectivity | need password reset,FAQ-019|FAQ-020|FAQ-021,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00042,2026-02-01T07:52:02,IT-008,false,"",0.05,Searched FAQ knowledge base; no high-confidence match.,identity provider | security_request | suspicious login notification,FAQ-030|FAQ-031,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00043,2026-01-16T13:07:47,IT-006,true,FAQ-025,0.85,Matched FAQ pattern: shared_mailbox_missing,email | email_calendar | email calendar sync issue,FAQ-024|FAQ-025|FAQ-026,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00044,2026-03-20T09:51:49,IT-008,true,FAQ-024,0.84,Matched FAQ pattern: out_of_office_disabled,email | email_calendar | email calendar sync issue,FAQ-024|FAQ-025|FAQ-026,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00045,2026-02-05T23:16:23,IT-003,true,FAQ-030,0.93,Matched FAQ pattern: suspicious_login_remediation,identity provider | security_request | vendor needs limited portal access,FAQ-030|FAQ-031,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00046,2026-02-03T03:58:32,IT-001,false,"",0.13,Searched FAQ knowledge base; no high-confidence match.,crm | login_access | mfa prompt never arrives,FAQ-001|FAQ-002|FAQ-003,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00047,2026-03-23T01:54:11,IT-003,false,"",0.33,Searched FAQ knowledge base; no high-confidence match.,customer portal | other | need help with a workflow,FAQ-032|FAQ-033,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00048,2026-01-19T19:50:58,IT-008,true,FAQ-008,0.9,Matched FAQ pattern: service_account_password_expired,identity provider | password_reset | need password reset,FAQ-006|FAQ-007|FAQ-008,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00049,2026-03-13T20:40:45,IT-008,true,FAQ-012,0.7,Matched FAQ pattern: wrong_tax_rate_after_relocation,billing system | billing_account | wrong billing region applied,FAQ-011|FAQ-012|FAQ-013,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00050,2026-02-22T18:00:22,IT-006,true,FAQ-002,0.88,Matched FAQ pattern: mfa_code_not_received,crm | login_access | stuck in sso redirect loop,FAQ-001|FAQ-002|FAQ-003,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00051,2026-02-24T04:34:51,IT-008,true,FAQ-007,0.76,Matched FAQ pattern: reset_link_expired,crm | password_reset | need password reset,FAQ-006|FAQ-007|FAQ-008,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00052,2026-01-18T20:40:12,IT-003,true,FAQ-001,0.72,Matched FAQ pattern: browser_redirect_loop_on_sso,identity provider | login_access | stuck in sso redirect loop,FAQ-001|FAQ-002|FAQ-003,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00053,2026-03-30T19:28:46,IT-003,false,"",0.37,Searched FAQ knowledge base; no high-confidence match.,customer portal | billing_account | wrong billing region applied,FAQ-011|FAQ-012|FAQ-013,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00054,2026-02-11T15:04:49,IT-005,false,"",0.41,Searched FAQ knowledge base; no high-confidence match.,customer portal | hardware_issue | laptop battery drains in 1,FAQ-016|FAQ-017|FAQ-018,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00055,2026-02-08T12:01:17,IT-001,false,"",0.14,Searched FAQ knowledge base; no high-confidence match.,billing system | billing_account | cannot download invoice pdf,FAQ-011|FAQ-012|FAQ-013,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00056,2026-03-07T04:56:10,IT-008,true,FAQ-005,0.7,Matched FAQ pattern: session_token_expired,crm | login_access | account locked after travel,FAQ-005|FAQ-001|FAQ-002,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00057,2026-02-13T08:56:21,IT-003,false,"",0.32,Searched FAQ knowledge base; no high-confidence match.,identity provider | software_bug | suspicious login notification,FAQ-014|FAQ-015,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00058,2026-03-23T03:12:31,IT-006,false,"",0.06,Searched FAQ knowledge base; no high-confidence match.,vpn | network_connectivity | high latency to internal apps,FAQ-019|FAQ-020|FAQ-021,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00059,2026-01-16T06:13:19,IT-003,false,"",0.18,Searched FAQ knowledge base; no high-confidence match.,customer portal | hardware_issue | laptop battery drains in 1,FAQ-016|FAQ-017|FAQ-018,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00060,2026-03-14T09:36:39,IT-006,false,"",0.29,Searched FAQ knowledge base; no high-confidence match.,email | email_calendar | out of office not sending,FAQ-024|FAQ-025|FAQ-026,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00061,2026-02-24T13:04:26,IT-005,false,"",0.13,Searched FAQ knowledge base; no high-confidence match.,crm | login_access | mfa prompt never arrives,FAQ-001|FAQ-002|FAQ-003,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00062,2026-01-17T16:43:33,IT-008,false,"",0.22,Searched FAQ knowledge base; no high-confidence match.,customer portal | software_bug | app freezes when opening report,FAQ-014|FAQ-015,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00063,2026-03-25T11:37:27,IT-001,true,FAQ-015,0.75,Matched FAQ pattern: saved_filter_lost_on_release,analytics dashboard | software_bug | saved filter not loading on,FAQ-014|FAQ-015,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00064,2026-03-11T00:03:57,IT-002,true,FAQ-006,0.66,Matched FAQ pattern: self_service_reset_failed,crm | password_reset | need password reset,FAQ-006|FAQ-007|FAQ-008,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00065,2026-01-19T20:27:31,IT-002,true,FAQ-008,0.83,Matched FAQ pattern: service_account_password_expired,customer portal | password_reset | need password reset,FAQ-006|FAQ-007|FAQ-008,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00066,2026-03-23T02:17:55,IT-004,false,"",0.43,Searched FAQ knowledge base; no high-confidence match.,customer portal | other | equipment return process,FAQ-032|FAQ-033,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00067,2026-02-04T21:39:33,IT-002,false,"",0.13,Searched FAQ knowledge base; no high-confidence match.,vpn | network_connectivity | vpn disconnects every few minutes,FAQ-019|FAQ-020|FAQ-021,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00068,2026-03-30T01:11:03,IT-006,false,"",0.15,Searched FAQ knowledge base; no high-confidence match.,crm | data_reporting | crm export missing records,FAQ-027|FAQ-028|FAQ-029,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00069,2026-01-19T00:58:35,IT-003,true,FAQ-030,0.92,Matched FAQ pattern: suspicious_login_remediation,identity provider | security_request | vendor needs limited portal access,FAQ-030|FAQ-031,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00070,2026-03-10T21:36:21,IT-002,true,FAQ-029,0.94,Matched FAQ pattern: browser_blocking_analytics_assets,crm | data_reporting | stale numbers in finance dashboard,FAQ-027|FAQ-028|FAQ-029,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00071,2026-01-20T18:46:14,IT-005,true,FAQ-024,0.65,Matched FAQ pattern: out_of_office_disabled,email | email_calendar | email calendar sync issue,FAQ-024|FAQ-025|FAQ-026,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00072,2026-02-06T19:53:57,IT-004,true,FAQ-017,0.68,Matched FAQ pattern: shared_printer_offline,customer portal | hardware_issue | wireless mouse not working,FAQ-016|FAQ-017|FAQ-018,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00073,2026-01-29T00:14:57,IT-006,true,FAQ-011,0.82,Matched FAQ pattern: invoice_pdf_download_fails,billing system | billing_account | invoice total looks wrong,FAQ-011|FAQ-012|FAQ-013,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00074,2026-01-22T09:13:39,IT-001,true,FAQ-007,0.9,Matched FAQ pattern: reset_link_expired,customer portal | password_reset | need password reset,FAQ-006|FAQ-007|FAQ-008,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00075,2026-03-30T21:59:21,IT-001,false,"",0.17,Searched FAQ knowledge base; no high-confidence match.,customer portal | other | general question about software list,FAQ-032|FAQ-033,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00076,2026-03-14T18:10:48,IT-008,true,FAQ-007,0.82,Matched FAQ pattern: reset_link_expired,crm | password_reset | password reset link expired,FAQ-006|FAQ-007|FAQ-008,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00077,2026-03-04T18:31:35,IT-004,false,"",0.17,Searched FAQ knowledge base; no high-confidence match.,vpn | network_connectivity | vpn disconnects every few minutes,FAQ-019|FAQ-020|FAQ-021,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00078,2026-02-05T01:14:35,IT-003,true,FAQ-007,0.85,Matched FAQ pattern: reset_link_expired,identity provider | password_reset | need password reset,FAQ-006|FAQ-007|FAQ-008,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00079,2026-03-21T09:16:52,IT-001,true,FAQ-026,0.95,Matched FAQ pattern: calendar_invite_double_booking,email | email_calendar | out of office not sending,FAQ-024|FAQ-025|FAQ-026,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00080,2026-03-13T07:40:38,IT-004,false,"",0.43,Searched FAQ knowledge base; no high-confidence match.,identity provider | login_access | cannot log into customer portal,FAQ-001|FAQ-002|FAQ-003,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00081,2026-03-19T15:31:19,IT-002,false,"",0.28,Searched FAQ knowledge base; no high-confidence match.,customer portal | password_reset | service account password expired,FAQ-006|FAQ-007|FAQ-008,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00082,2026-03-17T23:07:31,IT-002,false,"",0.17,Searched FAQ knowledge base; no high-confidence match.,billing system | billing_account | cannot download invoice pdf,FAQ-011|FAQ-012|FAQ-013,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00083,2026-03-04T16:32:15,IT-002,false,"",0.36,Searched FAQ knowledge base; no high-confidence match.,customer portal | data_reporting | need help with a workflow,FAQ-027|FAQ-028|FAQ-029,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00084,2026-01-19T14:42:38,IT-008,true,FAQ-018,0.75,Matched FAQ pattern: headset_audio_quality,customer portal | hardware_issue | wireless mouse not working,FAQ-016|FAQ-017|FAQ-018,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00085,2026-02-26T18:27:26,IT-003,false,"",0.06,Searched FAQ knowledge base; no high-confidence match.,customer portal | hardware_issue | records missing after crm export,FAQ-016|FAQ-017|FAQ-018,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00086,2026-02-24T21:31:47,IT-007,false,"",0.43,Searched FAQ knowledge base; no high-confidence match.,vpn | network_connectivity | wi-fi drops in conference room,FAQ-019|FAQ-020|FAQ-021,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00087,2026-02-28T17:14:20,IT-005,true,FAQ-031,0.91,Matched FAQ pattern: new_hire_access_request_standard_role,identity provider | security_request | need access for new employee,FAQ-030|FAQ-031,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00088,2026-03-25T08:29:42,IT-001,true,FAQ-003,0.91,Matched FAQ pattern: account_locked_after_failed_attempts,customer portal | login_access | mfa prompt never arrives,FAQ-001|FAQ-002|FAQ-003,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00089,2026-03-27T15:20:47,IT-003,false,"",0.06,Searched FAQ knowledge base; no high-confidence match.,crm | software_bug | saved filter not loading on,FAQ-014|FAQ-015,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00090,2026-03-21T05:24:15,IT-005,false,"",0.39,Searched FAQ knowledge base; no high-confidence match.,billing system | billing_account | wrong billing region applied,FAQ-011|FAQ-012|FAQ-013,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00091,2026-02-11T14:46:01,IT-005,false,"",0.34,Searched FAQ knowledge base; no high-confidence match.,inventory app | software_bug | saved filter not loading on,FAQ-014|FAQ-015,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00092,2026-01-21T05:07:56,IT-002,false,"",0.13,Searched FAQ knowledge base; no high-confidence match.,analytics dashboard | data_reporting | crm export missing records,FAQ-027|FAQ-028|FAQ-029,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00093,2026-03-25T12:41:13,IT-008,true,FAQ-001,0.86,Matched FAQ pattern: browser_redirect_loop_on_sso,identity provider | login_access | stuck in sso redirect loop,FAQ-001|FAQ-002|FAQ-003,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00094,2026-02-21T16:11:59,IT-004,false,"",0.26,Searched FAQ knowledge base; no high-confidence match.,email | email_calendar | out of office not sending,FAQ-024|FAQ-025|FAQ-026,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00095,2026-02-20T18:18:26,IT-001,false,"",0.25,Searched FAQ knowledge base; no high-confidence match.,analytics dashboard | software_bug | saved filter not loading on,FAQ-014|FAQ-015,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00096,2026-03-19T08:19:52,IT-001,false,"",0.39,Searched FAQ knowledge base; no high-confidence match.,customer portal | network_connectivity | wrong billing region applied,FAQ-019|FAQ-020|FAQ-021,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00097,2026-01-19T02:24:14,IT-006,true,FAQ-007,0.68,Matched FAQ pattern: reset_link_expired,customer portal | password_reset | need password reset,FAQ-006|FAQ-007|FAQ-008,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00098,2026-02-25T22:06:01,IT-003,false,"",0.24,Searched FAQ knowledge base; no high-confidence match.,customer portal | other | need help with a workflow,FAQ-032|FAQ-033,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00099,2026-01-23T18:38:52,IT-008,false,"",0.29,Searched FAQ knowledge base; no high-confidence match.,inventory app | data_reporting | analytics dashboard not loading,FAQ-027|FAQ-028|FAQ-029,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00100,2026-02-23T11:33:29,IT-006,false,"",0.4,Searched FAQ knowledge base; no high-confidence match.,identity provider | login_access | mfa prompt never arrives,FAQ-001|FAQ-002|FAQ-003,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00101,2026-03-07T22:06:23,IT-002,true,FAQ-026,0.89,Matched FAQ pattern: calendar_invite_double_booking,email | email_calendar | email calendar sync issue,FAQ-024|FAQ-025|FAQ-026,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00102,2026-02-01T07:29:39,IT-005,true,FAQ-011,0.83,Matched FAQ pattern: invoice_pdf_download_fails,billing system | billing_account | invoice total looks wrong,FAQ-011|FAQ-012|FAQ-013,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00103,2026-02-02T15:04:34,IT-005,true,FAQ-021,0.65,Matched FAQ pattern: wifi_reauth_conference_room,vpn | network_connectivity | vpn disconnects every few minutes,FAQ-019|FAQ-020|FAQ-021,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00104,2026-02-12T16:54:00,IT-001,false,"",0.06,Searched FAQ knowledge base; no high-confidence match.,crm | data_reporting | stale numbers in finance dashboard,FAQ-027|FAQ-028|FAQ-029,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00105,2026-03-26T10:34:37,IT-005,true,FAQ-030,0.86,Matched FAQ pattern: suspicious_login_remediation,identity provider | security_request | vendor needs limited portal access,FAQ-030|FAQ-031,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00106,2026-02-26T05:34:56,IT-004,false,"",0.25,Searched FAQ knowledge base; no high-confidence match.,customer portal | billing_account | wrong billing region applied,FAQ-011|FAQ-012|FAQ-013,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00107,2026-03-30T05:25:06,IT-004,false,"",0.3,Searched FAQ knowledge base; no high-confidence match.,customer portal | login_access | mfa prompt never arrives,FAQ-001|FAQ-002|FAQ-003,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00108,2026-03-23T14:48:53,IT-003,true,FAQ-025,0.7,Matched FAQ pattern: shared_mailbox_missing,email | email_calendar | shared mailbox missing,FAQ-024|FAQ-025|FAQ-026,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00109,2026-01-26T00:20:22,IT-006,true,FAQ-005,0.97,Matched FAQ pattern: session_token_expired,crm | login_access | account locked after travel,FAQ-005|FAQ-001|FAQ-002,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00110,2026-01-19T19:27:24,IT-002,true,FAQ-029,0.93,Matched FAQ pattern: browser_blocking_analytics_assets,crm | data_reporting | crm export missing records,FAQ-027|FAQ-028|FAQ-029,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00111,2026-01-18T04:53:34,IT-008,true,FAQ-002,0.8,Matched FAQ pattern: mfa_code_not_received,crm | login_access | cannot log into customer portal,FAQ-001|FAQ-002|FAQ-003,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00112,2026-03-30T07:58:22,IT-008,false,"",0.15,Searched FAQ knowledge base; no high-confidence match.,customer portal | other | need help with a workflow,FAQ-032|FAQ-033,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00113,2026-02-25T09:12:15,IT-003,true,FAQ-031,0.75,Matched FAQ pattern: new_hire_access_request_standard_role,identity provider | security_request | need access for new employee,FAQ-030|FAQ-031,true,FAQ symptoms and required context appear sufficient for first response.
TKT-00114,2026-01-23T07:53:40,IT-003,false,"",0.42,Searched FAQ knowledge base; no high-confidence match.,vpn | network_connectivity | wi-fi drops in conference room,FAQ-019|FAQ-020|FAQ-021,false,No FAQ candidate explains the reported symptom with enough confidence.
TKT-00115,2026-02-09T06:37:55,IT-008,false,"",0.13,Searched FAQ knowledge base; no high-confidence match.,identity provider | security_request | need access for new employee,FAQ-030|FAQ-031,false,No FAQ candidate explains the reported symptom with enough confidence.
