event_id,ticket_id,event_time,event_type,actor_type,actor_id,event_notes
EVT-0000040,TKT-00005,2026-01-26T22:06:46,specialist_solution_created,it_specialist,SP-002,root_cause=Stale OAuth token in calendar provider
EVT-0000041,TKT-00005,2026-01-26T22:36:06,specialist_response_drafted,it_team,IT-007,""
EVT-0000042,TKT-00005,2026-01-26T22:59:20,specialist_response_sent,it_team,IT-007,""
EVT-0000043,TKT-00005,2026-01-27T14:48:05,customer_resolution_accepted,customer,CUST-015,""
EVT-0000044,TKT-00005,2026-01-27T16:02:28,ticket_closed,it_team,IT-007,accepted_first_attempt
EVT-0000045,TKT-00006,2026-01-31T01:14:00,ticket_submitted,customer,CUST-012,channel=portal
EVT-0000046,TKT-00006,2026-01-31T05:48:07,ticket_triaged,it_team,IT-001,category=network_connectivity; priority=medium
EVT-0000047,TKT-00006,2026-01-31T07:14:07,faq_checked,it_team,IT-001,match=True; confidence=0.84
EVT-0000048,TKT-00006,2026-01-31T07:57:35,faq_response_drafted,it_team,IT-001,""
EVT-0000049,TKT-00006,2026-01-31T08:36:05,faq_response_sent,it_team,IT-001,""
EVT-0000050,TKT-00006,2026-02-01T20:23:37,customer_resolution_accepted,customer,CUST-012,""
EVT-0000051,TKT-00006,2026-02-01T21:58:34,ticket_closed,it_team,IT-001,accepted_first_attempt
EVT-0000052,TKT-00007,2026-01-17T16:26:00,ticket_submitted,customer,CUST-006,channel=portal
EVT-0000053,TKT-00007,2026-01-17T17:11:15,ticket_triaged,it_team,IT-002,category=login_access; priority=urgent
EVT-0000054,TKT-00007,2026-01-17T18:59:13,faq_checked,it_team,IT-002,match=True; confidence=0.89
EVT-0000055,TKT-00007,2026-01-17T19:35:32,faq_response_drafted,it_team,IT-002,""
EVT-0000056,TKT-00007,2026-01-17T19:52:37,faq_response_sent,it_team,IT-002,""
EVT-0000057,TKT-00007,2026-01-18T17:44:50,customer_resolution_accepted,customer,CUST-006,""
EVT-0000058,TKT-00007,2026-01-18T18:01:24,ticket_closed,it_team,IT-002,accepted_first_attempt
EVT-0000059,TKT-00008,2026-03-04T18:54:00,ticket_submitted,customer,CUST-002,channel=email
EVT-0000060,TKT-00008,2026-03-04T20:49:10,ticket_triaged,it_team,IT-002,category=login_access; priority=high
EVT-0000061,TKT-00008,2026-03-04T21:40:19,faq_checked,it_team,IT-002,match=False; confidence=0.23
EVT-0000062,TKT-00008,2026-03-04T22:11:06,ticket_escalated,it_team,IT-002,to specialist SP-006; missing_info=True
EVT-0000063,TKT-00008,2026-03-05T00:22:14,specialist_investigation_started,it_specialist,SP-006,""
EVT-0000064,TKT-00008,2026-03-05T09:26:25,specialist_solution_created,it_specialist,SP-006,root_cause=Permission cache out of sync between SSO and target system
EVT-0000065,TKT-00008,2026-03-05T09:51:02,specialist_response_drafted,it_team,IT-002,""
EVT-0000066,TKT-00008,2026-03-05T10:27:56,specialist_response_sent,it_team,IT-002,""
EVT-0000067,TKT-00008,2026-03-06T11:46:25,customer_resolution_rejected,customer,CUST-002,Issue recurred after a few hours
EVT-0000068,TKT-00008,2026-03-06T13:11:09,rejection_verified,it_team,IT-002,""
EVT-0000069,TKT-00008,2026-03-06T15:06:40,ticket_reopened,it_team,IT-002,""
EVT-0000070,TKT-00008,2026-03-06T16:32:34,ticket_escalated,it_team,IT-002,to specialist SP-006; reopen=True
EVT-0000071,TKT-00008,2026-03-06T19:51:10,specialist_investigation_started,it_specialist,SP-006,post_reopen
EVT-0000072,TKT-00008,2026-03-06T20:55:47,specialist_solution_created,it_specialist,SP-006,post_reopen
EVT-0000073,TKT-00008,2026-03-06T21:49:21,specialist_response_drafted,it_team,IT-002,post_reopen
EVT-0000074,TKT-00008,2026-03-06T22:08:44,specialist_response_sent,it_team,IT-002,post_reopen
EVT-0000075,TKT-00008,2026-03-07T20:59:54,customer_resolution_accepted,customer,CUST-002,post_reopen
EVT-0000076,TKT-00008,2026-03-07T22:28:49,ticket_closed,it_team,IT-002,accepted_after_reopen
EVT-0000077,TKT-00009,2026-02-18T02:44:00,ticket_submitted,customer,CUST-010,channel=email
EVT-0000078,TKT-00009,2026-02-18T06:51:51,ticket_triaged,it_team,IT-008,category=software_bug; priority=high
EVT-0000079,TKT-00009,2026-02-18T07:19:50,faq_checked,it_team,IT-008,match=False; confidence=0.32
EVT-0000080,TKT-00009,2026-02-18T07:34:18,ticket_escalated,it_team,IT-008,to specialist SP-008; missing_info=False
EVT-0000081,TKT-00009,2026-02-18T08:24:57,specialist_investigation_started,it_specialist,SP-008,""
EVT-0000082,TKT-00009,2026-02-21T01:26:15,specialist_solution_created,it_specialist,SP-008,root_cause=Race condition in background sync job
EVT-0000083,TKT-00009,2026-02-21T02:52:34,specialist_response_drafted,it_team,IT-008,""
EVT-0000084,TKT-00009,2026-02-21T03:19:03,specialist_response_sent,it_team,IT-008,""
EVT-0000085,TKT-00009,2026-02-21T19:56:33,customer_resolution_rejected,customer,CUST-010,Need different approach
EVT-0000086,TKT-00009,2026-02-21T22:51:04,rejection_verified,it_team,IT-008,""
EVT-0000087,TKT-00009,2026-02-21T23:48:03,ticket_reopened,it_team,IT-008,""
EVT-0000088,TKT-00009,2026-02-22T00:49:30,ticket_escalated,it_team,IT-008,to specialist SP-008; reopen=True
EVT-0000089,TKT-00009,2026-02-22T04:27:30,specialist_investigation_started,it_specialist,SP-008,post_reopen
EVT-0000090,TKT-00009,2026-02-23T05:23:13,specialist_solution_created,it_specialist,SP-008,post_reopen
EVT-0000091,TKT-00009,2026-02-23T06:41:59,specialist_response_drafted,it_team,IT-008,post_reopen
EVT-0000092,TKT-00009,2026-02-23T07:03:10,specialist_response_sent,it_team,IT-008,post_reopen
EVT-0000093,TKT-00009,2026-02-25T08:13:36,customer_resolution_accepted,customer,CUST-010,post_reopen
EVT-0000094,TKT-00009,2026-02-25T08:30:05,ticket_closed,it_team,IT-008,accepted_after_reopen
EVT-0000095,TKT-00010,2026-02-09T21:05:00,ticket_submitted,customer,CUST-007,channel=portal
EVT-0000096,TKT-00010,2026-02-10T01:38:17,ticket_triaged,it_team,IT-008,category=other; priority=low
EVT-0000097,TKT-00010,2026-02-10T02:10:48,faq_checked,it_team,IT-008,match=False; confidence=0.35
EVT-0000098,TKT-00010,2026-02-10T03:33:07,ticket_escalated,it_team,IT-008,to specialist SP-008; missing_info=True
EVT-0000099,TKT-00010,2026-02-10T09:22:07,specialist_investigation_started,it_specialist,SP-008,""
EVT-0000100,TKT-00010,2026-02-11T08:17:32,specialist_solution_created,it_specialist,SP-008,root_cause=Cross-team request requiring case-by-case handling
EVT-0000101,TKT-00010,2026-02-11T09:25:42,specialist_response_drafted,it_team,IT-008,""
EVT-0000102,TKT-00010,2026-02-11T09:52:20,specialist_response_sent,it_team,IT-008,""
EVT-0000103,TKT-00010,2026-02-13T14:49:05,customer_resolution_accepted,customer,CUST-007,""
EVT-0000104,TKT-00010,2026-02-13T15:36:14,ticket_closed,it_team,IT-008,accepted_first_attempt
EVT-0000105,TKT-00011,2026-02-06T09:08:00,ticket_submitted,customer,CUST-014,channel=phone
EVT-0000106,TKT-00011,2026-02-06T11:53:10,ticket_triaged,it_team,IT-008,category=login_access; priority=high
EVT-0000107,TKT-00011,2026-02-06T12:20:22,faq_checked,it_team,IT-008,match=True; confidence=0.87
EVT-0000108,TKT-00011,2026-02-06T12:28:53,ticket_escalated,it_team,IT-008,to specialist SP-002; missing_info=True
EVT-0000109,TKT-00011,2026-02-06T15:04:09,specialist_investigation_started,it_specialist,SP-002,""
EVT-0000110,TKT-00011,2026-02-06T17:56:31,specialist_solution_created,it_specialist,SP-002,root_cause=Permission cache out of sync between SSO and target system
EVT-0000111,TKT-00011,2026-02-06T18:12:59,specialist_response_drafted,it_team,IT-008,""
EVT-0000112,TKT-00011,2026-02-06T18:42:05,specialist_response_sent,it_team,IT-008,""
EVT-0000113,TKT-00011,2026-02-08T03:34:06,customer_resolution_accepted,customer,CUST-014,""
EVT-0000114,TKT-00011,2026-02-08T05:33:48,ticket_closed,it_team,IT-008,accepted_first_attempt
EVT-0000115,TKT-00012,2026-01-19T08:53:00,ticket_submitted,customer,CUST-014,channel=email
EVT-0000116,TKT-00012,2026-01-19T09:36:50,ticket_triaged,it_team,IT-006,category=hardware_issue; priority=high
EVT-0000117,TKT-00012,2026-01-19T11:09:57,faq_checked,it_team,IT-006,match=False; confidence=0.22
EVT-0000118,TKT-00012,2026-01-19T11:58:41,ticket_escalated,it_team,IT-006,to specialist SP-001; missing_info=False
EVT-0000119,TKT-00012,2026-01-19T13:37:08,specialist_investigation_started,it_specialist,SP-001,""
EVT-0000120,TKT-00012,2026-01-20T02:54:25,specialist_solution_created,it_specialist,SP-001,root_cause=Driver mismatch with current OS image
EVT-0000121,TKT-00012,2026-01-20T03:51:16,specialist_response_drafted,it_team,IT-006,""
EVT-0000122,TKT-00012,2026-01-20T04:03:12,specialist_response_sent,it_team,IT-006,""
EVT-0000123,TKT-00012,2026-01-20T17:47:13,customer_resolution_rejected,customer,CUST-014,Steps did not resolve the issue
EVT-0000124,TKT-00012,2026-01-20T18:46:41,rejection_verified,it_team,IT-006,""
EVT-0000125,TKT-00012,2026-01-20T20:09:02,ticket_reopened,it_team,IT-006,""
EVT-0000126,TKT-00012,2026-01-20T21:42:06,ticket_escalated,it_team,IT-006,to specialist SP-001; reopen=True
EVT-0000127,TKT-00012,2026-01-21T01:30:13,specialist_investigation_started,it_specialist,SP-001,post_reopen
EVT-0000128,TKT-00012,2026-01-21T07:10:39,specialist_solution_created,it_specialist,SP-001,post_reopen
EVT-0000129,TKT-00012,2026-01-21T07:39:32,specialist_response_drafted,it_team,IT-006,post_reopen
EVT-0000130,TKT-00012,2026-01-21T08:04:45,specialist_response_sent,it_team,IT-006,post_reopen
EVT-0000131,TKT-00012,2026-01-21T14:14:27,customer_resolution_rejected,customer,CUST-014,post_reopen
EVT-0000132,TKT-00012,2026-01-21T18:06:48,ticket_closed,it_team,IT-006,closed_unresolved_after_reopen
EVT-0000133,TKT-00013,2026-03-17T04:45:00,ticket_submitted,customer,CUST-001,channel=phone
EVT-0000134,TKT-00013,2026-03-17T10:04:26,ticket_triaged,it_team,IT-001,category=password_reset; priority=medium
EVT-0000135,TKT-00013,2026-03-17T11:48:54,faq_checked,it_team,IT-001,match=False; confidence=0.15
EVT-0000136,TKT-00013,2026-03-17T12:59:28,ticket_escalated,it_team,IT-001,to specialist SP-006; missing_info=False
EVT-0000137,TKT-00013,2026-03-17T17:11:28,specialist_investigation_started,it_specialist,SP-006,""
EVT-0000138,TKT-00013,2026-03-17T18:28:18,specialist_solution_created,it_specialist,SP-006,root_cause=Edge-case in privileged-account reset workflow
EVT-0000139,TKT-00013,2026-03-17T19:43:53,specialist_response_drafted,it_team,IT-001,""
EVT-0000140,TKT-00013,2026-03-17T19:59:15,specialist_response_sent,it_team,IT-001,""
EVT-0000141,TKT-00013,2026-03-20T00:31:23,customer_resolution_rejected,customer,CUST-001,Solution applied but symptom persists
EVT-0000142,TKT-00013,2026-03-20T02:37:15,rejection_verified,it_team,IT-001,""
EVT-0000143,TKT-00013,2026-03-20T04:20:51,ticket_closed,it_team,IT-001,closed_unresolved_no_reopen
EVT-0000144,TKT-00014,2026-02-08T14:14:00,ticket_submitted,customer,CUST-006,channel=portal
EVT-0000145,TKT-00014,2026-02-08T16:03:38,ticket_triaged,it_team,IT-007,category=network_connectivity; priority=high
EVT-0000146,TKT-00014,2026-02-08T16:28:45,faq_checked,it_team,IT-007,match=True; confidence=0.85
EVT-0000147,TKT-00014,2026-02-08T16:49:10,faq_response_drafted,it_team,IT-007,""
EVT-0000148,TKT-00014,2026-02-08T16:53:04,faq_response_sent,it_team,IT-007,""
EVT-0000149,TKT-00014,2026-02-09T11:13:20,customer_resolution_accepted,customer,CUST-006,""
EVT-0000150,TKT-00014,2026-02-09T12:39:55,ticket_closed,it_team,IT-007,accepted_first_attempt
EVT-0000151,TKT-00015,2026-01-16T22:36:00,ticket_submitted,customer,CUST-018,channel=portal
EVT-0000152,TKT-00015,2026-01-17T02:27:40,ticket_triaged,it_team,IT-004,category=hardware_issue; priority=low
EVT-0000153,TKT-00015,2026-01-17T03:16:22,faq_checked,it_team,IT-004,match=False; confidence=0.15
EVT-0000154,TKT-00015,2026-01-17T04:30:00,ticket_escalated,it_team,IT-004,to specialist SP-003; missing_info=False
EVT-0000155,TKT-00015,2026-01-17T08:28:33,specialist_investigation_started,it_specialist,SP-003,""
EVT-0000156,TKT-00015,2026-01-18T22:34:31,specialist_solution_created,it_specialist,SP-003,root_cause=Driver mismatch with current OS image
EVT-0000157,TKT-00015,2026-01-18T22:55:50,specialist_response_drafted,it_team,IT-004,""
EVT-0000158,TKT-00015,2026-01-18T23:28:41,specialist_response_sent,it_team,IT-004,""
EVT-0000159,TKT-00015,2026-01-21T06:27:12,customer_resolution_accepted,customer,CUST-018,""
EVT-0000160,TKT-00015,2026-01-21T08:19:39,ticket_closed,it_team,IT-004,accepted_first_attempt
EVT-0000161,TKT-00016,2026-02-02T08:44:00,ticket_submitted,customer,CUST-002,channel=email
EVT-0000162,TKT-00016,2026-02-02T09:29:58,ticket_triaged,it_team,IT-005,category=security_request; priority=urgent
EVT-0000163,TKT-00016,2026-02-02T10:15:31,faq_checked,it_team,IT-005,match=False; confidence=0.37
EVT-0000164,TKT-00016,2026-02-02T10:41:38,ticket_escalated,it_team,IT-005,to specialist SP-002; missing_info=True
EVT-0000165,TKT-00016,2026-02-02T12:25:19,specialist_investigation_started,it_specialist,SP-002,""
EVT-0000166,TKT-00016,2026-02-04T22:11:27,specialist_solution_created,it_specialist,SP-002,root_cause=Manual access review required for sensitive role
EVT-0000167,TKT-00016,2026-02-04T22:30:19,specialist_response_drafted,it_team,IT-005,""
EVT-0000168,TKT-00016,2026-02-04T22:55:15,specialist_response_sent,it_team,IT-005,""
EVT-0000169,TKT-00016,2026-02-05T23:55:26,customer_resolution_accepted,customer,CUST-002,""
EVT-0000170,TKT-00016,2026-02-06T00:08:36,ticket_closed,it_team,IT-005,accepted_first_attempt
EVT-0000171,TKT-00017,2026-03-10T06:54:00,ticket_submitted,customer,CUST-013,channel=phone
EVT-0000172,TKT-00017,2026-03-10T07:38:41,ticket_triaged,it_team,IT-005,category=login_access; priority=medium
EVT-0000173,TKT-00017,2026-03-10T08:40:55,faq_checked,it_team,IT-005,match=True; confidence=0.88
EVT-0000174,TKT-00017,2026-03-10T09:25:58,faq_response_drafted,it_team,IT-005,""
EVT-0000175,TKT-00017,2026-03-10T09:49:41,faq_response_sent,it_team,IT-005,""
EVT-0000176,TKT-00017,2026-03-11T16:50:14,customer_resolution_accepted,customer,CUST-013,""
EVT-0000177,TKT-00017,2026-03-11T18:49:05,ticket_closed,it_team,IT-005,accepted_first_attempt
EVT-0000178,TKT-00018,2026-03-12T08:57:00,ticket_submitted,customer,CUST-011,channel=portal
EVT-0000179,TKT-00018,2026-03-12T10:16:11,ticket_triaged,it_team,IT-008,category=billing_account; priority=low
EVT-0000180,TKT-00018,2026-03-12T10:52:56,faq_checked,it_team,IT-008,match=True; confidence=0.9
EVT-0000181,TKT-00018,2026-03-12T11:48:11,faq_response_drafted,it_team,IT-008,""
EVT-0000182,TKT-00018,2026-03-12T12:03:20,faq_response_sent,it_team,IT-008,""
EVT-0000183,TKT-00018,2026-03-14T10:25:02,customer_resolution_accepted,customer,CUST-011,""
EVT-0000184,TKT-00018,2026-03-14T11:08:06,ticket_closed,it_team,IT-008,accepted_first_attempt
EVT-0000185,TKT-00019,2026-02-09T21:47:00,ticket_submitted,customer,CUST-003,channel=portal
EVT-0000186,TKT-00019,2026-02-09T23:40:45,ticket_triaged,it_team,IT-008,category=network_connectivity; priority=high
EVT-0000187,TKT-00019,2026-02-10T00:03:54,faq_checked,it_team,IT-008,match=False; confidence=0.27
EVT-0000188,TKT-00019,2026-02-10T01:22:34,ticket_escalated,it_team,IT-008,to specialist SP-009; missing_info=False
EVT-0000189,TKT-00019,2026-02-10T02:05:58,specialist_investigation_started,it_specialist,SP-009,""
EVT-0000190,TKT-00019,2026-02-10T11:52:55,specialist_solution_created,it_specialist,SP-009,root_cause=Misconfigured route on regional gateway
EVT-0000191,TKT-00019,2026-02-10T12:25:07,specialist_response_drafted,it_team,IT-008,""
EVT-0000192,TKT-00019,2026-02-10T12:55:22,specialist_response_sent,it_team,IT-008,""
EVT-0000193,TKT-00019,2026-02-11T23:19:28,customer_resolution_accepted,customer,CUST-003,""
EVT-0000194,TKT-00019,2026-02-12T00:47:20,ticket_closed,it_team,IT-008,accepted_first_attempt
EVT-0000195,TKT-00020,2026-03-11T14:55:00,ticket_submitted,customer,CUST-012,channel=phone
EVT-0000196,TKT-00020,2026-03-11T17:47:30,ticket_triaged,it_team,IT-003,category=network_connectivity; priority=medium
EVT-0000197,TKT-00020,2026-03-11T19:23:19,faq_checked,it_team,IT-003,match=True; confidence=0.92
EVT-0000198,TKT-00020,2026-03-11T20:02:25,faq_response_drafted,it_team,IT-003,""
EVT-0000199,TKT-00020,2026-03-11T20:36:55,faq_response_sent,it_team,IT-003,""
EVT-0000200,TKT-00020,2026-03-12T01:26:21,customer_resolution_accepted,customer,CUST-012,""
EVT-0000201,TKT-00020,2026-03-12T03:03:03,ticket_closed,it_team,IT-003,accepted_first_attempt
EVT-0000202,TKT-00021,2026-02-21T15:56:00,ticket_submitted,customer,CUST-018,channel=portal
EVT-0000203,TKT-00021,2026-02-21T17:31:20,ticket_triaged,it_team,IT-002,category=network_connectivity; priority=medium
EVT-0000204,TKT-00021,2026-02-21T18:51:31,faq_checked,it_team,IT-002,match=True; confidence=0.88
EVT-0000205,TKT-00021,2026-02-21T19:52:14,faq_response_drafted,it_team,IT-002,""
EVT-0000206,TKT-00021,2026-02-21T20:08:22,faq_response_sent,it_team,IT-002,""
EVT-0000207,TKT-00021,2026-02-23T21:44:00,customer_resolution_accepted,customer,CUST-018,""
EVT-0000208,TKT-00021,2026-02-23T23:27:52,ticket_closed,it_team,IT-002,accepted_first_attempt
EVT-0000209,TKT-00022,2026-02-17T10:08:00,ticket_submitted,customer,CUST-001,channel=portal
EVT-0000210,TKT-00022,2026-02-17T15:26:54,ticket_triaged,it_team,IT-006,category=login_access; priority=medium
EVT-0000211,TKT-00022,2026-02-17T17:21:41,faq_checked,it_team,IT-006,match=True; confidence=0.93
EVT-0000212,TKT-00022,2026-02-17T18:17:16,faq_response_drafted,it_team,IT-006,""
EVT-0000213,TKT-00022,2026-02-17T18:34:55,faq_response_sent,it_team,IT-006,""
EVT-0000214,TKT-00022,2026-02-18T11:27:29,customer_resolution_rejected,customer,CUST-001,Solution applied but symptom persists
EVT-0000215,TKT-00022,2026-02-18T14:57:59,rejection_verified,it_team,IT-006,""
EVT-0000216,TKT-00022,2026-02-18T16:01:17,ticket_reopened,it_team,IT-006,""
EVT-0000217,TKT-00022,2026-02-18T16:47:19,ticket_escalated,it_team,IT-006,to specialist SP-006; reopen=True
EVT-0000218,TKT-00022,2026-02-18T19:41:43,specialist_investigation_started,it_specialist,SP-006,post_reopen
EVT-0000219,TKT-00022,2026-02-18T23:53:49,specialist_solution_created,it_specialist,SP-006,post_reopen
EVT-0000220,TKT-00022,2026-02-19T00:13:06,specialist_response_drafted,it_team,IT-006,post_reopen
EVT-0000221,TKT-00022,2026-02-19T00:50:02,specialist_response_sent,it_team,IT-006,post_reopen
EVT-0000222,TKT-00022,2026-02-21T10:55:27,customer_resolution_accepted,customer,CUST-001,post_reopen
EVT-0000223,TKT-00022,2026-02-21T11:42:14,ticket_closed,it_team,IT-006,accepted_after_reopen
EVT-0000224,TKT-00023,2026-03-21T13:52:00,ticket_submitted,customer,CUST-007,channel=portal
EVT-0000225,TKT-00023,2026-03-21T19:29:13,ticket_triaged,it_team,IT-003,category=other; priority=medium
EVT-0000226,TKT-00023,2026-03-21T21:08:25,faq_checked,it_team,IT-003,match=False; confidence=0.18
EVT-0000227,TKT-00023,2026-03-21T21:20:45,ticket_escalated,it_team,IT-003,to specialist SP-008; missing_info=False
EVT-0000228,TKT-00023,2026-03-22T03:06:13,specialist_investigation_started,it_specialist,SP-008,""
EVT-0000229,TKT-00023,2026-03-23T00:16:11,specialist_solution_created,it_specialist,SP-008,root_cause=Cross-team request requiring case-by-case handling
EVT-0000230,TKT-00023,2026-03-23T01:11:11,specialist_response_drafted,it_team,IT-003,""
EVT-0000231,TKT-00023,2026-03-23T01:37:09,specialist_response_sent,it_team,IT-003,""
EVT-0000232,TKT-00023,2026-03-23T12:49:38,customer_resolution_accepted,customer,CUST-007,""
EVT-0000233,TKT-00023,2026-03-23T14:21:51,ticket_closed,it_team,IT-003,accepted_first_attempt
EVT-0000234,TKT-00024,2026-03-06T06:58:00,ticket_submitted,customer,CUST-010,channel=email
EVT-0000235,TKT-00024,2026-03-06T08:13:45,ticket_triaged,it_team,IT-008,category=software_bug; priority=high
EVT-0000236,TKT-00024,2026-03-06T09:52:12,faq_checked,it_team,IT-008,match=True; confidence=0.86
EVT-0000237,TKT-00024,2026-03-06T09:59:44,faq_response_drafted,it_team,IT-008,""
EVT-0000238,TKT-00024,2026-03-06T10:18:34,faq_response_sent,it_team,IT-008,""
EVT-0000239,TKT-00024,2026-03-08T14:16:47,customer_resolution_accepted,customer,CUST-010,""
EVT-0000240,TKT-00024,2026-03-08T15:42:58,ticket_closed,it_team,IT-008,accepted_first_attempt
EVT-0000241,TKT-00025,2026-02-25T13:33:00,ticket_submitted,customer,CUST-007,channel=phone
EVT-0000242,TKT-00025,2026-02-25T15:21:22,ticket_triaged,it_team,IT-003,category=login_access; priority=medium
EVT-0000243,TKT-00025,2026-02-25T15:37:59,faq_checked,it_team,IT-003,match=False; confidence=0.1
EVT-0000244,TKT-00025,2026-02-25T16:01:49,ticket_escalated,it_team,IT-003,to specialist SP-006; missing_info=False
EVT-0000245,TKT-00025,2026-02-25T20:15:30,specialist_investigation_started,it_specialist,SP-006,""
EVT-0000246,TKT-00025,2026-02-25T22:06:18,specialist_solution_created,it_specialist,SP-006,root_cause=Permission cache out of sync between SSO and target system
EVT-0000247,TKT-00025,2026-02-25T22:36:18,specialist_response_drafted,it_team,IT-003,""
EVT-0000248,TKT-00025,2026-02-25T22:47:18,specialist_response_sent,it_team,IT-003,""
EVT-0000249,TKT-00025,2026-02-27T10:30:23,customer_resolution_rejected,customer,CUST-007,Solution applied but symptom persists
EVT-0000250,TKT-00025,2026-02-27T12:44:42,rejection_verified,it_team,IT-003,""
EVT-0000251,TKT-00025,2026-02-27T14:16:48,ticket_reopened,it_team,IT-003,""
EVT-0000252,TKT-00025,2026-02-27T14:44:45,ticket_escalated,it_team,IT-003,to specialist SP-006; reopen=True
EVT-0000253,TKT-00025,2026-02-27T15:26:26,specialist_investigation_started,it_specialist,SP-006,post_reopen
EVT-0000254,TKT-00025,2026-02-27T17:24:04,specialist_solution_created,it_specialist,SP-006,post_reopen
EVT-0000255,TKT-00025,2026-02-27T18:04:05,specialist_response_drafted,it_team,IT-003,post_reopen
EVT-0000256,TKT-00025,2026-02-27T18:16:08,specialist_response_sent,it_team,IT-003,post_reopen
EVT-0000257,TKT-00025,2026-02-28T04:10:57,customer_resolution_accepted,customer,CUST-007,post_reopen
EVT-0000258,TKT-00025,2026-02-28T05:41:17,ticket_closed,it_team,IT-003,accepted_after_reopen
EVT-0000259,TKT-00026,2026-02-04T21:09:00,ticket_submitted,customer,CUST-002,channel=phone
EVT-0000260,TKT-00026,2026-02-04T22:58:07,ticket_triaged,it_team,IT-003,category=login_access; priority=high
