ticket_id,customer_reply_at,resolution_accepted,customer_feedback_text,rejection_reason,verified_rejection,reopened_flag,closed_at,verified_by_it_member_id,verification_notes,next_action,closure_reason
TKT-00084,2026-01-20T09:39:17,false,Tried the steps but the problem is still happening.,Solution applied but symptom persists,true,true,"",IT-008,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00084,2026-01-23T10:56:48,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-01-23T11:10:50,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00085,2026-03-01T19:46:09,false,Tried the steps but the problem is still happening.,Steps did not resolve the issue,true,true,"",IT-003,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00085,2026-03-04T01:38:42,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-03-04T02:06:42,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00086,2026-02-26T02:42:28,false,Tried the steps but the problem is still happening.,Issue recurred after a few hours,true,true,"",IT-007,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00086,2026-03-01T07:53:31,false,Not fixed yet — escalated to vendor on our side.,Issue still persists after re-investigation,true,false,2026-03-01T13:17:17,IT-007,IT verified continued failure and closed as unresolved with vendor-side follow-up.,close_unresolved_vendor_followup,unresolved_after_reopen
TKT-00087,2026-03-01T09:39:43,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-01T10:08:28,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00088,2026-03-27T16:30:14,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-27T17:02:35,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00089,2026-04-01T04:58:00,true,"Worked perfectly, thanks!","",false,false,2026-04-01T06:14:21,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00090,2026-03-22T13:25:08,true,"Worked perfectly, thanks!","",false,false,2026-03-22T14:05:50,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00091,2026-02-14T19:38:52,true,All set — appreciate the quick turnaround.,"",false,false,2026-02-14T21:31:23,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00092,2026-01-23T20:13:13,true,Confirmed fixed. Thank you.,"",false,false,2026-01-23T20:49:50,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00093,2026-03-26T13:39:28,true,All set — appreciate the quick turnaround.,"",false,false,2026-03-26T14:09:40,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00094,2026-02-22T19:14:48,true,Resolved. Closing the loop on our end.,"",false,false,2026-02-22T20:55:04,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00095,2026-02-25T09:15:44,false,Tried the steps but the problem is still happening.,Need different approach,true,true,"",IT-001,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00095,2026-02-26T16:06:42,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-02-26T16:56:22,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00096,2026-03-21T05:19:49,false,Tried the steps but the problem is still happening.,Need different approach,true,true,"",IT-001,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00096,2026-03-22T07:37:52,false,Not fixed yet — escalated to vendor on our side.,Issue still persists after re-investigation,true,false,2026-03-22T11:34:28,IT-001,IT verified continued failure and closed as unresolved with vendor-side follow-up.,close_unresolved_vendor_followup,unresolved_after_reopen
TKT-00097,2026-01-21T05:20:28,true,Confirmed fixed. Thank you.,"",false,false,2026-01-21T07:15:11,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00098,2026-02-27T17:51:41,true,Resolved. Closing the loop on our end.,"",false,false,2026-02-27T19:16:47,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00099,2026-01-28T03:58:40,true,"Worked perfectly, thanks!","",false,false,2026-01-28T04:45:02,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00100,2026-02-25T18:26:13,true,All set — appreciate the quick turnaround.,"",false,false,2026-02-25T18:55:22,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00101,2026-03-08T11:34:56,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-08T12:27:21,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00102,2026-02-03T19:52:25,false,Tried the steps but the problem is still happening.,Steps did not resolve the issue,true,true,"",IT-005,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00102,2026-02-05T17:34:23,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-02-05T18:46:55,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00103,2026-02-05T03:47:22,true,Confirmed fixed. Thank you.,"",false,false,2026-02-05T05:27:31,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00104,2026-02-14T02:54:01,true,All set — appreciate the quick turnaround.,"",false,false,2026-02-14T03:38:20,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00105,2026-03-27T19:22:43,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-27T20:04:39,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00106,2026-02-27T14:26:15,false,Tried the steps but the problem is still happening.,Steps did not resolve the issue,true,true,"",IT-004,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00106,2026-03-02T19:40:00,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-03-02T20:40:18,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00107,2026-03-31T05:19:50,false,Tried the steps but the problem is still happening.,Steps did not resolve the issue,true,true,"",IT-004,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00107,2026-04-01T13:49:33,false,Not fixed yet — escalated to vendor on our side.,Issue still persists after re-investigation,true,false,2026-04-01T18:15:44,IT-004,IT verified continued failure and closed as unresolved with vendor-side follow-up.,close_unresolved_vendor_followup,unresolved_after_reopen
TKT-00108,2026-03-24T12:00:17,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-24T12:49:52,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00109,2026-01-26T22:24:04,true,"Worked perfectly, thanks!","",false,false,2026-01-26T23:06:03,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00110,2026-01-23T05:14:52,true,All set — appreciate the quick turnaround.,"",false,false,2026-01-23T05:45:03,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00111,2026-01-20T17:07:55,false,Tried the steps but the problem is still happening.,Steps did not resolve the issue,true,true,"",IT-008,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00111,2026-01-22T00:10:05,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-01-22T00:17:47,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00112,2026-04-03T09:39:52,false,Tried the steps but the problem is still happening.,Solution applied but symptom persists,true,false,2026-04-03T17:43:08,IT-008,IT verified rejection but did not reopen because no actionable internal path remained.,close_unresolved,unresolved_no_reopen
TKT-00113,2026-03-02T03:30:34,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-02T04:02:48,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00114,2026-01-25T16:24:19,true,Confirmed fixed. Thank you.,"",false,false,2026-01-25T17:40:48,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00115,2026-02-12T21:05:57,true,All set — appreciate the quick turnaround.,"",false,false,2026-02-12T21:40:47,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00116,2026-03-17T21:52:57,true,"Worked perfectly, thanks!","",false,false,2026-03-17T23:06:17,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00117,2026-02-01T19:54:22,true,All set — appreciate the quick turnaround.,"",false,false,2026-02-01T20:24:25,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00118,2026-02-25T13:43:58,false,Tried the steps but the problem is still happening.,Solution applied but symptom persists,true,true,"",IT-008,IT reviewed the customer's reply and confirmed the symptom is still in scope.,reopen_and_escalate,pending_reopened_review
TKT-00118,2026-02-26T23:24:19,true,Confirmed fixed after the deeper investigation. Thanks for the persistence.,"",false,false,2026-02-27T00:32:24,"",Customer confirmed resolution after reopened specialist review.,close_ticket,accepted_after_reopen
TKT-00119,2026-03-07T10:58:29,true,"Worked perfectly, thanks!","",false,false,2026-03-07T11:29:06,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
TKT-00120,2026-03-12T06:49:44,true,Resolved. Closing the loop on our end.,"",false,false,2026-03-12T08:09:43,"",Customer confirmed resolution; no rejection verification needed.,close_ticket,accepted_by_customer
